#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun
384207 844 69743.039062 67451.757812 59296.199219 -12.051274 -290.948090 -351.858246 217.045868 -1.955282e+01 -2.040026e+01 2.684681
384208 844 69502.664062 67364.234375 59315.867188 -22.334206 -251.604919 -437.807526 104.011810 -1.860662e+01 -1.914985e+01 0.356348
384209 844 69693.179688 67519.664062 59457.972656 -100.441490 -459.735046 -427.963562 67.020409 -1.607738e+01 -1.651909e+01 0.027211
384210 844 69971.234375 67460.984375 59409.207031 -40.403439 -176.446945 -390.364685 64.564690 -1.621473e+01 -1.671279e+01 0.028498
384211 844 69660.507812 67353.757812 59210.632812 79.002190 -136.445190 -480.622528 61.502701 -1.542268e+01 -1.606688e+01 0.023173
384212 844 69781.062500 67615.875000 59430.410156 10.107048 -367.026367 -336.440765 59.894974 -1.543985e+01 -1.612529e+01 0.033957
384213 844 69787.578125 67295.859375 59360.480469 11.102128 -136.724136 -273.008118 46.821243 -1.417476e+01 -1.470488e+01 0.006686
384214 844 69647.601562 67291.593750 59321.523438 -98.590996 -454.583923 -465.194183 48.371136 -1.393564e+01 -1.459178e+01 0.006551
384215 844 69610.210938 67427.250000 59489.218750 -125.467125 -267.621796 -416.418671 44.269524 -1.314515e+01 -1.382461e+01 0.004074
384216 844 69826.968750 67676.679688 59239.277344 76.336845 -163.273941 -265.947906 40.197006 -1.247604e+01 -1.312036e+01 0.001861
384217 844 69860.625000 67286.398438 59364.402344 -58.483829 -292.497314 -503.430939 41.164139 -1.249490e+01 -1.313576e+01 0.002035
384218 844 69644.632812 67567.625000 59468.832031 -133.960876 -473.141693 -411.068695 36.505939 -1.299414e+01 -1.360552e+01 0.002561
384219 844 69898.687500 67293.101562 59223.281250 -3.813583 -412.623444 -436.697327 30.183558 -1.083136e+01 -1.144650e+01 0.000462
384220 844 69634.265625 67336.789062 59231.855469 -123.064064 -28.573847 -384.108765 35.549522 -1.056156e+01 -1.113757e+01 0.000335
384221 844 69814.445312 67478.750000 59250.570312 164.009766 -65.404037 -634.917480 31.858871 -1.077054e+01 -1.138101e+01 0.000434
384222 844 69770.835938 67617.953125 59355.019531 -40.506577 -273.222290 -201.347321 29.939354 -1.241227e+01 -1.305583e+01 0.001851
384223 844 69922.445312 67523.679688 59213.300781 78.525185 -107.929855 -592.490356 23.021868 1.000000e+37 1.000000e+37 0.000000
384224 844 69563.976562 67488.343750 59396.210938 115.385818 -109.257584 -465.000732 21.309652 1.000000e+37 1.000000e+37 0.000000
384225 844 69640.445312 67437.445312 59165.472656 -87.440506 -415.308685 -483.864655 31.426575 -1.145214e+01 -1.208398e+01 0.000834
384226 844 69674.664062 67359.242188 59295.222656 -168.628983 -221.636826 -363.387207 29.952765 -1.194754e+01 -1.259778e+01 0.001343
384227 844 69788.757812 67642.875000 59418.000000 93.816780 -374.923279 -226.467163 26.561827 1.000000e+37 1.000000e+37 0.000000
384228 844 69503.632812 67575.039062 59299.812500 167.681152 -306.743713 -285.025970 22.961798 1.000000e+37 1.000000e+37 0.000000
384229 844 69747.078125 67489.890625 59395.910156 -78.300079 -316.074615 -177.039429 26.002268 -1.213263e+01 -1.283762e+01 0.001625
384230 844 69744.562500 67672.312500 59171.312500 65.957214 -127.865677 -390.824310 24.137299 -1.089298e+01 -1.147149e+01 0.000398
384231 844 69776.687500 67532.820312 59037.257812 96.219971 -178.857178 -274.110382 22.469965 1.000000e+37 1.000000e+37 0.000000
384232 844 69772.812500 67417.203125 59271.406250 -242.497147 -497.569489 -461.745026 25.295845 -1.103798e+01 -1.166391e+01 0.000557
384233 844 70005.812500 67458.976562 59461.214844 -126.734512 -453.000519 -335.163452 19.364422 1.000000e+37 1.000000e+37 0.000000
384234 844 69461.414062 67589.953125 59248.835938 155.505692 -284.648560 -283.705963 18.157024 1.000000e+37 1.000000e+37 0.000000
384235 844 69902.554688 67441.281250 59481.753906 -36.805347 -260.456177 -544.513306 24.100214 -8.810072e+00 -9.365596e+00 0.000067
384236 844 69738.968750 67568.859375 59310.500000 -60.690090 -191.440781 -530.803223 20.997725 -8.326166e+00 -8.887583e+00 0.000046
384237 844 69885.476562 67580.093750 59310.785156 191.906952 -371.142181 -370.224030 17.727808 1.000000e+37 1.000000e+37 0.000000
384238 844 69876.601562 67403.343750 59110.242188 -40.598492 -430.034912 -281.612732 18.285318 1.000000e+37 1.000000e+37 0.000000
384239 844 69799.382812 67334.101562 59066.468750 -116.790215 -146.808304 -237.339661 17.726074 1.000000e+37 1.000000e+37 0.000000
384240 844 69748.757812 67583.945312 59228.113281 13.277401 -223.162384 -182.617249 22.914169 1.000000e+37 1.000000e+37 0.000000
