#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun/h
409223 1238 67902.898438 47289.824219 36347.496094 208.695770 155.242828 71.995361 163.994919 -2.041293e+01 -2.087817e+01 1.494109
409224 1238 68309.437500 47506.382812 36565.375000 162.546021 119.151123 41.794460 131.855850 -2.031332e+01 -2.072440e+01 0.853785
409225 1238 68320.937500 47489.996094 36551.152344 84.470657 125.351906 -10.775617 82.228973 -1.925426e+01 -1.956023e+01 0.191859
409226 1238 68270.453125 47555.765625 36419.695312 195.236435 39.224804 105.617188 60.952511 -1.629943e+01 -1.667580e+01 0.017619
409227 1238 67876.289062 47273.507812 36453.578125 295.176483 147.615356 104.865120 53.332508 -1.470510e+01 -1.527853e+01 0.011786
409228 1238 68052.851562 47431.718750 36470.957031 140.499435 211.559189 136.798813 39.633858 -1.244393e+01 -1.297589e+01 0.000990
409229 1238 68209.328125 47628.222656 36470.914062 169.530457 184.523544 19.358385 42.201328 -1.439458e+01 -1.482959e+01 0.004665
409230 1238 68310.171875 47494.328125 36600.457031 295.807739 -112.712776 39.132164 47.540928 -1.373093e+01 -1.416820e+01 0.002362
409231 1238 68085.289062 47452.167969 36536.238281 210.460968 163.481323 56.553379 37.634541 -1.361826e+01 -1.428751e+01 0.005516
409232 1238 68136.617188 47551.492188 36523.140625 158.905090 282.653259 31.708551 21.813330 1.000000e+37 1.000000e+37 0.000000
409233 1238 68332.929688 47435.742188 36627.695312 147.344727 -62.075447 -28.340954 24.993561 -8.693848e+00 -9.265514e+00 0.000073
409234 1238 68287.109375 47467.359375 36550.699219 164.633789 237.301315 75.691162 24.176170 -1.359341e+01 -1.414820e+01 0.002190
409235 1238 67894.750000 47276.246094 36333.617188 340.098694 165.855286 -32.975449 20.777433 -1.634557e+01 -1.639590e+01 0.001477
409236 1238 68407.398438 47494.785156 36583.507812 143.539719 253.121002 94.742393 23.582357 1.000000e+37 1.000000e+37 0.000000
409237 1238 68229.039062 47578.964844 36524.531250 90.233078 108.000252 38.560909 25.700092 -9.689108e+00 -1.024936e+01 0.000128
409238 1238 68220.156250 47604.777344 36611.574219 225.248962 195.299438 70.471375 25.610411 1.000000e+37 1.000000e+37 0.000000
409239 1238 68269.476562 47380.195312 36674.480469 210.234802 144.464233 -50.083618 18.381458 1.000000e+37 1.000000e+37 0.000000
409240 1238 68335.250000 47518.871094 36639.316406 191.343399 136.786957 -46.558800 24.422947 -1.040234e+01 -1.100904e+01 0.000308
409241 1238 67890.695312 47282.203125 36342.644531 258.827209 130.690979 -69.681496 19.477907 -1.658553e+01 -1.663654e+01 0.002166
409242 1238 67910.757812 47286.777344 36327.617188 342.042145 246.579132 87.180893 16.206995 -1.373661e+01 -1.384310e+01 0.000244
409243 1238 67885.289062 47205.468750 36383.007812 248.234955 168.050034 121.593620 20.720058 -9.933928e+00 -1.058753e+01 0.000186
409244 1238 68330.273438 47471.046875 36595.554688 214.501282 42.983040 -132.129105 24.187925 1.000000e+37 1.000000e+37 0.000000
409245 1238 68443.523438 47505.347656 36539.187500 127.898315 62.341125 120.641571 16.910383 1.000000e+37 1.000000e+37 0.000000
409246 1238 68319.992188 47443.855469 36492.976562 224.372482 34.371017 161.679199 15.390975 1.000000e+37 1.000000e+37 0.000000
409247 1238 68332.453125 47477.031250 36530.144531 65.838905 276.425293 -13.226623 17.982265 1.000000e+37 1.000000e+37 0.000000
