#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG
#subID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags
394285 13055.124023 38588.824219 43178.492188 185.979187 166.486542 4.951686 207.063828 -2.171978e+01 -2.219099e+01
394286 13218.551758 38610.179688 42988.699219 199.142044 238.418045 104.740662 84.804619 -1.768535e+01 -1.819044e+01
394287 13224.142578 38655.296875 43038.082031 302.990021 109.220963 146.515686 63.740154 -1.633068e+01 -1.677620e+01
394288 13167.027344 38656.007812 43214.964844 251.571686 281.721375 198.385391 45.352253 -1.399008e+01 -1.454343e+01
394289 13276.224609 38554.125000 43066.574219 29.288979 251.846664 149.405609 29.727467 -8.718159e+00 -9.284996e+00
394290 13244.542969 38428.500000 43035.703125 234.803360 61.747551 70.332031 23.650692 -9.768600e+00 -1.034046e+01
394291 13117.341797 38658.421875 43221.132812 91.116653 261.036041 -28.547100 30.472816 -1.170847e+01 -1.234918e+01
394292 13252.691406 38572.816406 43047.496094 174.075836 201.634720 55.145618 26.651655 -1.168318e+01 -1.233715e+01
394293 13126.189453 38413.324219 43102.632812 285.276337 243.170593 60.901806 23.842005 1.000000e+37 1.000000e+37
394294 13202.567383 38745.031250 43286.628906 -3.010314 187.414276 98.168144 15.721903 1.000000e+37 1.000000e+37
394295 13067.666016 38591.351562 43041.738281 321.446014 143.479599 155.289047 25.199203 -1.009470e+01 -1.069541e+01
394296 13146.487305 38697.253906 43101.523438 286.880707 155.486679 194.914047 17.330214 1.000000e+37 1.000000e+37
394297 12849.316406 38640.500000 43224.941406 380.458252 86.273865 44.609016 14.584559 1.000000e+37 1.000000e+37
394298 13235.857422 38692.621094 43186.078125 205.143951 338.689423 -84.043388 17.784517 1.000000e+37 1.000000e+37
394299 12968.462891 38363.992188 43108.363281 207.870514 82.370705 -0.895091 20.424889 -1.076094e+01 -1.145076e+01
394300 13151.002930 38475.984375 43237.792969 341.175964 351.154358 -23.093374 18.032097 1.000000e+37 1.000000e+37
394301 13048.934570 38457.605469 43324.117188 151.622757 282.629425 69.683861 17.912230 1.000000e+37 1.000000e+37
394302 12921.354492 38615.945312 43235.828125 275.190460 159.622437 230.785080 16.452333 1.000000e+37 1.000000e+37
394303 13085.333008 38686.632812 42999.476562 308.940033 197.020004 157.792404 16.616194 1.000000e+37 1.000000e+37
394304 13114.740234 38807.300781 43120.902344 58.139698 134.712402 173.820053 13.179982 1.000000e+37 1.000000e+37
394305 13090.041992 38495.265625 43120.660156 188.832397 113.310669 111.885910 17.807711 -9.027214e+00 -9.580184e+00
394306 13207.439453 38745.542969 43261.738281 -11.236192 195.809341 97.579453 16.974287 1.000000e+37 1.000000e+37
394307 13204.161133 38388.718750 43179.375000 179.267212 98.785500 109.227448 14.013883 1.000000e+37 1.000000e+37
394308 13056.258789 38612.917969 43089.324219 262.342621 230.159271 137.849014 15.334783 1.000000e+37 1.000000e+37
