#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG
#subID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags
414486 20036.802734 27981.855469 63332.855469 -121.717735 14.293092 -149.600800 171.074570 -2.137209e+01 -2.174131e+01
414487 20009.484375 27964.304688 63374.496094 -14.956368 -119.296974 -40.792206 95.708344 -1.931302e+01 -1.959295e+01
414488 20096.009766 28075.441406 63254.351562 -14.550389 44.505013 -66.161125 79.362984 -1.794047e+01 -1.834230e+01
414489 19918.589844 28151.322266 63350.050781 -78.634644 -22.527311 -33.258282 60.286766 -1.566449e+01 -1.604465e+01
414490 20102.007812 27939.576172 63575.226562 -57.624477 -33.069210 -178.057373 58.855923 -1.608730e+01 -1.650723e+01
414491 20115.029297 27851.658203 63329.625000 -212.541061 -41.586273 -79.750656 53.790951 -1.523756e+01 -1.569442e+01
414492 20091.000000 28037.812500 63277.203125 -229.287354 20.652317 -232.585312 58.868305 -1.540475e+01 -1.600329e+01
414493 20140.638672 27877.779297 63255.230469 -197.093170 -1.354406 -53.214615 46.490715 -1.405596e+01 -1.457640e+01
414494 20194.591797 27939.462891 63275.046875 -148.892654 -98.504097 -163.380203 45.132114 -1.448001e+01 -1.486204e+01
414495 20135.097656 27907.152344 63282.699219 -14.827944 32.168484 -1.780293 38.530521 -9.990979e+00 -1.051744e+01
414496 19978.625000 28045.386719 63336.468750 -108.057365 -116.890320 -253.008133 33.312363 -1.081968e+01 -1.141207e+01
414497 20024.498047 28034.478516 63245.921875 -193.897232 -73.077423 80.520134 25.218342 1.000000e+37 1.000000e+37
414498 20086.369141 27964.589844 63364.324219 82.769585 -21.118456 -73.408669 29.848572 -1.275019e+01 -1.305160e+01
414499 19892.386719 27915.949219 63323.351562 -78.560448 -48.272331 -236.975327 19.235796 1.000000e+37 1.000000e+37
414500 19945.656250 27911.263672 63177.265625 -62.346752 47.562096 -281.757080 21.422316 1.000000e+37 1.000000e+37
