#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG
#subID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags
298989 59882.000000 8446.622070 73350.078125 127.053581 473.212708 -213.997604 28.314331 -1.063254e+01
298990 59825.953125 8532.396484 73196.382812 147.075409 44.283924 422.112335 19.206800 1.000000e+37
298991 59556.238281 8314.468750 73285.898438 12.143085 95.822945 34.156456 22.181213 -1.232537e+01
298992 59763.601562 8541.815430 73270.898438 224.568878 74.953468 -65.592941 25.618530 -1.108861e+01
298993 59643.300781 8309.617188 73437.906250 242.170364 169.172714 131.191833 26.234121 -9.627147e+00
298994 59852.664062 8484.090820 73338.914062 -2.691673 601.566956 -114.842735 32.112953 -1.215040e+01
298995 59848.000000 8473.281250 73284.812500 300.307526 296.275879 385.537842 24.245520 -1.253894e+01
298996 59607.308594 8430.340820 73145.148438 141.728699 173.011841 -25.763283 23.981688 -1.129992e+01
298997 59763.878906 8527.035156 73399.953125 523.727539 14.327950 94.111603 20.034342 1.000000e+37
298998 59811.000000 8346.989258 73266.976562 344.191162 -18.413095 241.682190 17.169903 -8.765394e+00
298999 59913.304688 8546.327148 73447.851562 -380.471527 -60.632381 -88.548126 20.095594 -8.518085e+00
299000 59401.539062 8331.307617 73398.375000 138.618378 170.800369 241.858902 20.373220 -1.022989e+01
299001 60257.449219 8844.408203 73634.937500 57.515987 110.666779 -9.915569 21.837280 1.000000e+37
299002 59649.785156 8193.555664 73358.695312 119.139999 188.723679 313.960205 16.121817 1.000000e+37
299003 59382.074219 8368.464844 73387.984375 192.031891 156.848572 79.465424 24.064791 -8.975592e+00
299004 59606.593750 8305.704102 73292.218750 46.777477 -215.260086 -77.263206 21.427509 1.000000e+37
299005 59681.613281 8411.303711 73483.226562 240.233307 196.151764 246.287354 20.062677 -1.012294e+01
299006 59691.468750 8537.909180 73303.789062 81.028664 354.274689 294.006165 22.397120 1.000000e+37
299007 59887.246094 8521.563477 73450.078125 -84.040947 -2.268197 -154.101578 24.436386 -9.820510e+00
299008 59713.929688 8452.409180 73634.343750 -318.641663 163.744675 115.847832 22.421932 -9.416624e+00
299009 59449.496094 8443.805664 73250.195312 99.928452 -40.450317 206.023041 20.601355 1.000000e+37
299010 59609.632812 8344.212891 73184.296875 47.718578 303.030121 44.055897 21.161800 1.000000e+37
299011 59612.093750 8387.316406 73186.171875 60.370739 51.886864 316.300323 19.742964 -9.698546e+00
299012 59332.300781 8307.631836 73430.921875 40.902065 122.845764 187.009369 21.271807 1.000000e+37
299013 60082.984375 8415.647461 73242.257812 53.713554 -10.697891 134.985931 17.919733 1.000000e+37
299014 59864.410156 8590.695312 73315.742188 304.160950 83.331909 -134.927887 19.881393 1.000000e+37
299015 59689.562500 8245.515625 73434.890625 261.802856 359.019348 81.541275 14.815076 1.000000e+37
299016 59940.621094 8725.488281 73172.210938 -55.556454 3.668502 343.110413 17.286726 1.000000e+37
299017 59495.464844 8383.465820 73099.273438 313.150818 228.527878 74.158241 15.620914 1.000000e+37
299018 59935.878906 8538.674805 73229.039062 -301.228302 138.774750 343.175446 18.019388 1.000000e+37
299019 60087.691406 8516.600586 73504.445312 -246.755127 47.902058 232.884109 20.388922 -1.010692e+01
299020 59512.722656 8375.399414 73335.328125 241.682861 146.023483 38.452808 15.792498 -1.037967e+01
299021 59933.210938 8597.493164 73542.960938 3.363680 146.367188 -335.263824 18.882420 1.000000e+37
299022 59469.382812 8556.250000 73143.023438 -67.075615 -75.087914 46.383465 18.821577 1.000000e+37
299023 59916.582031 8710.211914 73472.023438 -347.212128 109.474983 30.215248 16.150185 1.000000e+37
299024 59903.179688 8410.138672 73250.492188 -273.470551 121.614624 360.660278 19.108130 -1.169062e+01
299025 60311.066406 8832.226562 73661.140625 -75.023788 115.463791 -34.439663 16.401438 1.000000e+37
299026 59525.226562 8223.603516 73213.328125 4.498680 167.128128 237.052078 17.470200 1.000000e+37
299027 59633.917969 8372.377930 73060.968750 347.959198 165.253174 53.812149 14.209654 1.000000e+37
299028 59333.742188 8484.846680 73142.320312 70.490646 213.485916 65.362381 20.231550 1.000000e+37
299029 59601.589844 8429.595703 73299.367188 -96.769211 -197.370178 122.180779 17.304321 1.000000e+37
299030 59783.648438 8609.895508 73272.843750 356.527344 147.447327 136.466827 21.712147 -8.807384e+00
299031 59342.648438 8223.991211 73247.726562 30.806618 100.270790 200.312149 19.589186 1.000000e+37
299032 59565.097656 8431.943359 73242.375000 197.076584 16.963381 276.858368 19.285713 1.000000e+37
299033 59635.285156 8273.720703 73093.203125 -151.754669 -88.287636 118.011871 17.070194 1.000000e+37
299034 59716.855469 8284.568359 73114.718750 -21.317728 -27.539104 37.442280 16.103043 1.000000e+37
299035 59452.992188 8333.777344 73364.601562 7.152055 259.771210 159.858917 16.185101 1.000000e+37
299036 59634.351562 8634.631836 73315.625000 -355.060822 33.777020 -38.357437 14.149860 1.000000e+37
299037 60157.347656 8835.428711 73532.343750 -43.852978 179.574081 -122.818115 16.301695 1.000000e+37
299038 59637.218750 8504.999023 73388.242188 -64.840034 201.052078 -185.057800 20.468271 1.000000e+37
299039 59734.324219 8444.073242 73421.031250 -78.420120 163.976410 320.276672 20.445713 1.000000e+37
299040 59941.910156 8663.082031 73401.898438 -14.811960 72.228897 -367.778320 16.927788 1.000000e+37
299041 59717.972656 8512.154297 73147.078125 162.028931 233.380341 310.645630 16.141642 1.000000e+37
299042 60211.785156 8638.912109 73406.640625 -240.650711 115.292336 102.337036 17.895180 1.000000e+37
299043 59729.480469 8470.056641 73329.828125 28.498848 370.898743 23.016642 19.690573 -1.002210e+01
299044 59528.300781 8374.255859 73489.468750 159.697006 132.958649 172.540298 19.433487 1.000000e+37
299045 59835.300781 8554.675781 73266.617188 -17.353600 63.458271 310.489471 19.078529 -1.046048e+01
299046 59872.910156 8484.678711 73422.343750 -215.126831 -101.498222 256.649231 15.796472 1.000000e+37
299047 59342.285156 8355.825195 73198.976562 275.299255 149.302658 -46.023697 12.683117 1.000000e+37
299048 59400.109375 8527.650391 73307.421875 298.115570 230.952332 96.689262 13.282894 1.000000e+37
299049 59809.359375 8344.969727 73264.804688 344.948273 -19.012568 242.274536 22.664064 -9.052609e+00
299050 59598.500000 8455.728516 73249.570312 -250.706085 33.353703 -73.008255 15.779176 1.000000e+37
299051 59878.203125 8352.984375 73400.226562 311.038513 363.095917 -149.805222 16.754433 1.000000e+37
299052 59748.980469 8500.480469 73362.875000 176.631943 -43.502678 -30.689327 21.236425 1.000000e+37
299053 59699.054688 8461.831055 73173.546875 99.681541 -87.214363 55.579613 16.346598 -8.964756e+00
299054 59719.753906 8553.590820 73315.046875 -23.487827 453.508911 49.399117 16.462439 1.000000e+37
299055 60191.445312 8834.464844 73631.281250 -57.728748 101.671539 -223.988480 12.131164 1.000000e+37
299056 59592.187500 8531.640625 73169.460938 -43.238617 142.141830 -101.260887 14.241229 1.000000e+37
299057 59764.195312 8559.338867 73505.539062 -89.376328 204.708954 213.688385 13.229953 1.000000e+37
299058 59980.550781 8365.047852 73256.054688 69.230156 334.097931 51.818188 14.239805 1.000000e+37
299059 59729.957031 8227.599609 73451.343750 115.656425 197.341446 -100.877014 14.929707 1.000000e+37
299060 59881.992188 8405.865234 73298.585938 279.621857 499.838898 -113.820366 15.469493 1.000000e+37
299061 59400.246094 8312.365234 73193.789062 65.453613 -67.874626 126.526703 15.673923 1.000000e+37
299062 59755.179688 8394.985352 73573.203125 -6.361743 339.947937 112.619522 12.241607 1.000000e+37
299063 59796.949219 8338.085938 73420.554688 244.991470 366.899567 -60.874588 16.540897 1.000000e+37
299064 59790.324219 8367.020508 73309.546875 420.492920 414.734161 26.802458 15.089927 1.000000e+37
299065 59681.652344 8613.160156 73463.054688 -31.688353 101.866562 -89.982079 14.023202 1.000000e+37
299066 59951.417969 8416.878906 73184.296875 -174.187057 7.329433 411.451538 13.712084 1.000000e+37
299067 59999.289062 8792.842773 73314.289062 360.393524 54.311440 182.271164 13.275398 1.000000e+37
299068 59693.546875 8454.356445 73038.718750 140.488785 5.240153 214.516510 14.269129 1.000000e+37
299069 59751.683594 8119.638672 73301.906250 -63.961639 481.661194 19.199116 13.778985 1.000000e+37
299070 59828.085938 8693.338867 73444.156250 -358.183167 -3.072166 23.832836 12.103172 1.000000e+37
299071 59881.859375 8589.288086 73349.140625 334.835724 316.086334 -192.489304 17.214802 1.000000e+37
299072 59428.589844 8177.313477 73216.539062 134.724503 -42.769680 -8.270421 14.901383 1.000000e+37
299073 59617.503906 8574.087891 73304.085938 -246.941956 -98.925171 -49.045769 10.745039 1.000000e+37
299074 59678.164062 8515.908203 73296.984375 -343.977142 287.588837 -5.330200 15.333751 1.000000e+37
299075 59506.515625 8621.597656 73149.492188 -133.063904 -56.209282 18.031364 12.066235 1.000000e+37
299076 59711.273438 8424.664062 73288.312500 140.697479 258.795807 89.675781 11.227571 1.000000e+37
299077 59489.046875 8316.480469 73350.554688 -67.327736 187.853088 178.608429 13.390100 1.000000e+37
299078 59967.187500 8264.252930 73154.609375 267.115784 156.750626 64.011955 13.318437 1.000000e+37
299079 60080.074219 8520.066406 73256.250000 -35.362782 51.604202 329.384827 13.311999 1.000000e+37
299080 59587.464844 8199.049805 73058.937500 -76.380577 140.045776 176.902008 10.999341 1.000000e+37
299081 59861.570312 8466.449219 73422.835938 -75.061531 328.922638 -392.484894 17.763523 1.000000e+37
299082 59898.261719 8538.840820 73389.343750 -115.324104 484.287598 -264.759094 15.852034 1.000000e+37
299083 59588.605469 8239.980469 73136.820312 -82.421997 181.908539 195.870590 11.372402 1.000000e+37
299084 60068.648438 8565.057617 73310.320312 -212.407364 71.601486 -11.840526 17.740347 -8.779783e+00
299085 60230.597656 8860.047852 73639.843750 30.487764 26.557112 4.375826 13.168465 1.000000e+37
299086 59956.503906 8603.868164 73485.203125 -161.635483 73.419014 -169.680435 16.145784 -9.472870e+00
299087 59954.027344 8514.307617 73276.687500 69.940849 -56.464256 7.372499 15.821493 1.000000e+37
299088 59812.667969 8540.697266 73403.117188 -105.850822 425.089325 92.972267 16.975336 1.000000e+37
299089 59845.542969 8522.789062 73133.171875 345.405640 -2.736145 239.462357 15.031851 1.000000e+37
299090 59849.035156 8706.802734 73490.296875 -332.534332 74.534843 -8.603319 15.575518 1.000000e+37
299091 59749.062500 8387.557617 73126.296875 364.001953 -13.406871 14.823275 11.873462 1.000000e+37
299092 59693.601562 8543.915039 73516.382812 -139.657104 248.942825 -54.330139 17.308693 1.000000e+37
299093 59629.402344 8238.958008 73363.671875 230.042816 352.225342 122.783234 11.596161 1.000000e+37
299094 59441.371094 8394.243164 73233.078125 53.421955 -91.330833 -40.598965 9.754992 1.000000e+37
299095 59529.187500 8210.250000 73126.929688 -142.397949 258.113220 20.963472 12.429164 1.000000e+37
299096 60190.328125 8796.918945 73580.046875 -202.838364 -91.423302 44.807705 16.428251 1.000000e+37
299097 59884.601562 8406.090820 73433.312500 -54.659897 -104.081871 -56.119652 13.047064 -9.015379e+00
299098 59814.671875 8289.159180 73471.515625 -39.660263 309.640778 262.900177 12.001676 1.000000e+37
299099 60116.726562 8540.197266 73466.828125 74.698616 142.631775 60.315960 10.267272 1.000000e+37
299100 59396.800781 8512.449219 73204.265625 83.366776 34.857254 75.563004 12.929953 1.000000e+37
299101 59662.453125 8417.633789 73314.609375 24.316841 243.487030 53.633022 12.932107 1.000000e+37
299102 59875.312500 8618.517578 73235.226562 121.045631 -61.673908 19.562605 14.271538 1.000000e+37
299103 59745.476562 8320.530273 73491.265625 -270.557800 -150.105942 53.642647 12.473166 1.000000e+37
299104 59925.367188 8487.815430 73372.062500 -90.512833 406.243225 -253.923889 12.940440 1.000000e+37
299105 59709.878906 8624.012695 73457.023438 -199.109238 175.542343 61.928436 16.580677 1.000000e+37
299106 59512.339844 8558.796875 73272.828125 -72.824875 51.754921 183.932129 10.911123 1.000000e+37
299107 59756.355469 8571.046875 73359.468750 514.502625 31.393570 75.620613 12.753927 1.000000e+37
299108 59761.855469 8512.657227 73319.828125 -241.663635 -193.820892 -339.869629 15.443163 1.000000e+37
299109 59842.714844 8514.439453 73248.562500 -26.593863 248.982361 127.617653 15.635280 1.000000e+37
299110 59881.429688 8349.329102 73132.796875 337.671997 126.020630 69.494751 11.318232 1.000000e+37
299111 59819.375000 8685.409180 73423.671875 -169.550491 65.108467 -128.249207 11.389984 1.000000e+37
299112 60149.472656 8627.858398 73282.101562 -116.095955 -41.625763 321.432983 8.675594 1.000000e+37
299113 59910.867188 8438.767578 73390.640625 416.277527 -128.366150 68.182846 14.631525 1.000000e+37
299114 60050.929688 8462.729492 73294.296875 -133.297897 253.260117 249.990936 12.190130 1.000000e+37
299115 59563.429688 8449.629883 73422.179688 -79.050507 -119.030853 -86.387680 11.490842 1.000000e+37
299116 59817.390625 8289.817383 73103.195312 -136.476364 96.387245 94.544456 10.262277 1.000000e+37
299117 59846.511719 8425.649414 73361.609375 438.079834 232.424255 -204.743408 14.856351 1.000000e+37
299118 59489.246094 8434.587891 73207.664062 -22.550303 6.477514 -44.669003 10.511735 1.000000e+37
299119 60249.179688 8738.523438 73578.531250 2.829698 25.305111 -319.279083 18.856443 1.000000e+37
299120 59890.433594 8485.755859 73351.960938 160.118195 116.351318 376.084351 15.213773 1.000000e+37
299121 59910.859375 8594.075195 73476.078125 -252.242676 -147.447754 -114.452293 11.925022 1.000000e+37
299122 59655.972656 8245.694336 73126.523438 142.755493 35.235348 -106.074654 13.410916 1.000000e+37
299123 59898.300781 8420.271484 73387.875000 39.522243 253.078720 222.034958 13.902788 1.000000e+37
299124 59683.199219 8341.362305 73108.625000 -177.467133 -94.132431 99.149071 11.965130 1.000000e+37
299125 60000.792969 8770.516602 73330.632812 -125.554169 -26.516411 -211.229294 8.749718 1.000000e+37
299126 59465.468750 8503.593750 73193.882812 87.735764 -7.600892 59.927616 14.233404 1.000000e+37
299127 59826.675781 8526.656250 73352.875000 249.681519 224.990143 327.507233 16.172253 1.000000e+37
299128 59652.222656 8376.123047 73304.742188 193.190155 317.252228 -55.205223 13.410691 1.000000e+37
299129 59796.960938 8397.520508 73232.570312 249.750107 371.255371 108.487488 15.879334 1.000000e+37
299130 59719.542969 8556.414062 73508.859375 -284.412903 46.648346 -181.803467 11.732985 1.000000e+37
299131 59655.031250 8411.591797 73447.343750 -91.943375 93.485733 -270.480438 12.358848 1.000000e+37
299132 60169.468750 8832.456055 73584.984375 11.310014 152.991943 -64.456802 10.015091 1.000000e+37
299133 59833.980469 8419.169922 73419.023438 415.167297 -16.036779 201.363983 11.832391 1.000000e+37
299134 59603.875000 8477.107422 73266.867188 -132.312897 64.755043 67.974724 12.927099 1.000000e+37
299135 59915.914062 8391.431641 73413.890625 181.031525 358.007874 -94.914490 11.461955 1.000000e+37
299136 59689.507812 8269.095703 73245.281250 -211.321426 64.395302 157.239471 7.369424 1.000000e+37
299137 59873.574219 8611.611328 73438.218750 -257.092529 315.018707 14.210958 12.905181 1.000000e+37
299138 59817.824219 8371.537109 73171.140625 -64.349007 243.786026 215.324860 9.641546 1.000000e+37
299139 59510.660156 8511.308594 73162.554688 -31.287695 -100.125465 55.205002 8.985830 1.000000e+37
299140 59780.656250 8539.990234 73310.945312 435.314789 357.281097 79.031563 12.151729 1.000000e+37
299141 60062.007812 8491.710938 73445.804688 -263.662598 -96.466064 176.070953 12.745823 1.000000e+37
299142 59624.160156 8252.299805 73351.507812 325.905151 291.878021 161.410248 12.350136 1.000000e+37
299143 59950.195312 8745.376953 73250.117188 -85.463860 -8.725372 342.965851 10.384556 1.000000e+37
299144 59776.714844 8605.655273 73339.820312 -14.615968 -223.584473 -127.186935 14.018114 1.000000e+37
299145 60090.726562 8630.481445 73361.304688 -89.939697 10.870257 -280.705444 12.255306 1.000000e+37
299146 59923.988281 8313.898438 73437.367188 29.690325 137.433182 -332.692017 9.194023 1.000000e+37
299147 59417.898438 8269.458984 73423.523438 135.677017 267.978821 -66.772186 9.389705 1.000000e+37
