#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun/h
471498 3226 53639.589844 53182.652344 45353.109375 76.373428 171.962585 -16.205444 142.919586 -2.075619e+01 -2.111303e+01 0.946313
471499 3226 53643.574219 53068.988281 45368.300781 -34.892426 232.580093 17.247150 75.284454 -1.650795e+01 -1.707045e+01 0.049294
471500 3226 53631.453125 53293.222656 45446.140625 64.129738 132.567001 75.362144 46.511547 -1.296672e+01 -1.356521e+01 0.001931
471501 3226 53532.710938 53225.343750 45460.792969 73.414246 254.678101 52.334419 43.318489 -1.321555e+01 -1.384221e+01 0.002718
471502 3226 53617.949219 53148.179688 45322.070312 134.214279 240.298248 -80.862907 36.562576 -1.334080e+01 -1.400713e+01 0.003879
471503 3226 53611.011719 53017.289062 45385.968750 -6.048338 158.960159 24.555805 18.344694 1.000000e+37 1.000000e+37 0.000000
471504 3226 53664.980469 53264.156250 45191.250000 74.810059 269.479675 40.632820 13.660357 1.000000e+37 1.000000e+37 0.000000
471505 3226 53727.964844 53266.785156 45401.179688 119.459671 208.587875 -118.503288 15.563430 1.000000e+37 1.000000e+37 0.000000
471506 3226 53665.320312 53315.027344 45406.742188 161.621933 219.814865 -6.546015 18.054531 1.000000e+37 1.000000e+37 0.000000
471507 3226 53631.121094 53190.964844 45379.925781 -93.321571 222.840027 -43.985321 17.590780 -1.139950e+01 -1.208538e+01 0.000591
471508 3226 53608.882812 53153.117188 45356.605469 200.402542 301.894867 -123.091698 15.831996 1.000000e+37 1.000000e+37 0.000000
471509 3226 53643.101562 53162.074219 45232.500000 22.333572 149.704681 51.305679 15.852324 1.000000e+37 1.000000e+37 0.000000
471510 3226 53650.652344 53234.988281 45258.882812 66.830727 233.909073 -98.338737 10.144309 1.000000e+37 1.000000e+37 0.000000
471511 3226 53702.960938 53194.531250 45255.742188 22.271118 142.876144 -97.918266 12.468304 1.000000e+37 1.000000e+37 0.000000
471512 3226 53613.636719 53286.621094 45274.847656 45.192184 108.289993 -27.534788 14.065199 1.000000e+37 1.000000e+37 0.000000
471513 3226 53642.652344 53263.687500 45211.953125 -36.376503 137.732010 -2.737088 12.214938 1.000000e+37 1.000000e+37 0.000000
471514 3226 53612.046875 53316.179688 45396.714844 177.583801 218.425262 0.197495 11.171771 1.000000e+37 1.000000e+37 0.000000
471515 3226 53597.753906 53270.558594 45480.539062 104.247559 161.836853 -121.295135 10.872678 1.000000e+37 1.000000e+37 0.000000
471516 3226 53648.933594 53166.449219 45306.648438 -28.809132 181.475464 -82.614021 12.911162 1.000000e+37 1.000000e+37 0.000000
471517 3226 53660.609375 53172.214844 45392.890625 115.816101 174.831192 -217.922714 10.301096 1.000000e+37 1.000000e+37 0.000000
471518 3226 53635.035156 53292.210938 45374.699219 94.097862 182.876663 128.349182 10.343982 1.000000e+37 1.000000e+37 0.000000
471519 3226 53531.835938 53219.281250 45351.953125 108.938164 68.624466 -86.265419 8.174370 1.000000e+37 1.000000e+37 0.000000
483054 3820 54260.683594 53118.652344 44940.375000 -30.762365 216.919678 9.916419 142.895844 -1.924651e+01 -1.986051e+01 0.953895
483055 3820 54128.855469 53156.128906 44980.843750 76.202873 194.201813 57.815422 22.357742 1.000000e+37 1.000000e+37 0.000000
483056 3820 54107.332031 53152.882812 44873.925781 78.571999 163.801041 -44.899063 20.513712 1.000000e+37 1.000000e+37 0.000000
483057 3820 54278.257812 53107.156250 44993.664062 -64.080971 56.729279 -62.769432 28.136333 -1.030784e+01 -1.086410e+01 0.000198
483058 3820 54301.613281 53104.218750 44895.949219 21.838947 351.780151 -117.875267 20.737783 1.000000e+37 1.000000e+37 0.000000
483059 3820 54296.808594 53046.621094 44888.503906 -138.237061 292.519531 -72.765198 19.459164 1.000000e+37 1.000000e+37 0.000000
483060 3820 54173.003906 53256.148438 45079.773438 -38.610870 141.398041 -60.441429 18.950033 1.000000e+37 1.000000e+37 0.000000
483061 3820 54320.289062 53030.609375 44961.183594 -155.375870 287.195282 74.405640 16.220457 1.000000e+37 1.000000e+37 0.000000
483062 3820 54210.648438 53115.898438 44857.429688 -6.171316 363.781738 -33.694286 17.337976 1.000000e+37 1.000000e+37 0.000000
483063 3820 54197.121094 53113.878906 44895.601562 -24.301432 278.637665 134.052948 20.955927 -9.523495e+00 -1.010301e+01 0.000136
483064 3820 54330.128906 52940.726562 44933.761719 -46.024490 210.285477 -34.430641 15.641038 1.000000e+37 1.000000e+37 0.000000
483065 3820 54196.609375 53090.671875 44860.023438 -111.221794 239.504059 -42.511524 21.156916 1.000000e+37 1.000000e+37 0.000000
483066 3820 54365.882812 53078.312500 44921.781250 -112.179619 251.407639 -86.968040 19.040390 1.000000e+37 1.000000e+37 0.000000
483067 3820 54375.156250 52984.507812 44890.882812 10.639146 277.639893 45.766804 15.813893 1.000000e+37 1.000000e+37 0.000000
483068 3820 54148.171875 53165.312500 44939.496094 58.711597 176.705215 112.235558 11.153153 1.000000e+37 1.000000e+37 0.000000
483069 3820 54223.441406 52996.554688 44818.500000 -101.611946 152.291855 23.031397 14.664764 1.000000e+37 1.000000e+37 0.000000
483070 3820 54341.375000 53048.601562 44997.433594 29.808764 122.181351 -17.785606 11.595139 1.000000e+37 1.000000e+37 0.000000
483071 3820 54123.859375 53095.390625 44919.019531 16.914221 299.732086 91.405083 13.539838 1.000000e+37 1.000000e+37 0.000000
483072 3820 54288.167969 53028.343750 44902.992188 -21.044481 71.215523 -2.079551 11.426620 1.000000e+37 1.000000e+37 0.000000
483073 3820 54368.507812 53032.980469 44946.074219 -159.623245 244.543655 68.312248 11.577989 1.000000e+37 1.000000e+37 0.000000
483074 3820 54316.523438 53035.378906 44962.101562 -153.368988 282.924774 63.865166 15.925177 1.000000e+37 1.000000e+37 0.000000
483075 3820 54197.078125 53184.703125 44965.410156 13.736604 153.353745 -83.861099 14.024410 1.000000e+37 1.000000e+37 0.000000
483076 3820 54305.882812 53051.351562 44847.648438 -145.100235 178.991730 -58.176811 10.688366 1.000000e+37 1.000000e+37 0.000000
483077 3820 54275.921875 53045.132812 44861.257812 -7.486146 338.468414 71.977516 12.278049 1.000000e+37 1.000000e+37 0.000000
483078 3820 54399.660156 53046.503906 44929.988281 -19.580832 161.452423 -32.826694 9.662563 1.000000e+37 1.000000e+37 0.000000
483079 3820 54211.671875 52927.925781 44810.910156 -85.017097 189.672195 33.589382 8.971096 1.000000e+37 1.000000e+37 0.000000
483080 3820 54197.585938 52919.085938 44825.699219 -53.795719 248.385147 60.786869 12.000539 1.000000e+37 1.000000e+37 0.000000
483081 3820 54115.117188 53241.394531 45010.945312 23.937563 210.749954 28.472408 10.217327 1.000000e+37 1.000000e+37 0.000000
483082 3820 54331.414062 53003.191406 44923.167969 -111.474098 266.476837 -87.469749 8.888875 1.000000e+37 1.000000e+37 0.000000
483083 3820 54305.535156 53114.953125 44919.773438 -85.073097 390.786774 -66.888474 10.792994 1.000000e+37 1.000000e+37 0.000000
483084 3820 54197.414062 53090.667969 44938.746094 130.057068 174.338028 73.887337 10.382929 1.000000e+37 1.000000e+37 0.000000
483085 3820 54243.707031 52965.871094 44803.972656 -86.578453 165.040726 30.170111 7.536810 1.000000e+37 1.000000e+37 0.000000
485601 3967 55135.386719 55233.558594 46661.292969 46.701080 164.668427 54.037498 109.052139 -1.954097e+01 -2.001442e+01 0.482725
485602 3967 55124.718750 55259.738281 46613.914062 51.457474 231.572250 59.408173 74.684196 -1.836227e+01 -1.876335e+01 0.102624
485603 3967 55119.238281 55197.937500 46576.859375 -22.820745 201.787354 194.911774 52.672073 -1.437554e+01 -1.496299e+01 0.006945
485604 3967 55127.937500 55222.500000 46593.785156 -129.394791 179.034592 -23.415285 31.215702 1.000000e+37 1.000000e+37 0.000000
