#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG
#subID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags
367370 64565.976562 12304.667969 5339.408203 -131.581741 205.669250 -121.571983 13.311379 1.000000e+37 1.000000e+37
367371 64361.253906 12078.206055 5500.519043 23.374237 329.311493 -173.656250 11.956583 1.000000e+37 1.000000e+37
367372 64103.386719 12253.405273 5186.886230 -86.350960 180.397507 -41.595062 17.215149 1.000000e+37 1.000000e+37
367373 64428.390625 12226.622070 5133.031738 -142.455658 404.047668 141.845764 12.082578 1.000000e+37 1.000000e+37
367374 64209.039062 12114.755859 5548.310059 -109.616905 154.012115 -79.337143 13.028691 1.000000e+37 1.000000e+37
367375 64429.855469 12280.359375 5383.528809 -133.382965 248.451431 -109.236992 14.989276 1.000000e+37 1.000000e+37
367376 64517.046875 12366.319336 5083.221191 77.321739 304.086090 12.587592 13.890485 1.000000e+37 1.000000e+37
367377 64286.386719 12071.413086 5292.434082 -239.608627 132.841797 -107.908073 13.922718 1.000000e+37 1.000000e+37
367378 64178.472656 12200.908203 5265.181641 60.293148 46.135788 194.229675 11.189864 1.000000e+37 1.000000e+37
367379 64167.226562 12123.442383 5062.192871 82.625999 224.911194 207.006744 14.176879 1.000000e+37 1.000000e+37
367380 64305.015625 12291.532227 5284.964355 -181.867157 342.832092 238.859543 12.507798 1.000000e+37 1.000000e+37
367381 63953.523438 12230.251953 5386.763672 155.112778 357.244354 182.624954 16.153374 1.000000e+37 1.000000e+37
367382 64307.492188 12022.119141 5309.847168 -71.208511 470.790192 248.567017 14.871571 1.000000e+37 1.000000e+37
367383 64352.425781 12241.641602 5480.627930 50.085712 2.387405 -36.137325 14.901609 1.000000e+37 1.000000e+37
367384 64267.621094 12158.020508 5202.899414 -214.395325 3.328247 125.534470 13.328679 1.000000e+37 1.000000e+37
367385 64578.828125 12327.088867 5276.855469 60.356277 327.773926 200.312073 15.324692 1.000000e+37 1.000000e+37
367386 64328.675781 12339.751953 5266.557129 104.202972 222.107208 154.148117 17.692247 -8.950913e+00 -9.557014e+00
367387 64190.898438 12174.460938 5041.316895 -99.030960 190.885223 -87.352959 10.079018 1.000000e+37 1.000000e+37
