#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG
#subID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags
367080 53326.078125 42068.921875 64035.398438 50.077152 34.540409 -59.981667 246.365280 -2.050799e+01 -2.131282e+01
367081 53377.343750 42002.070312 64298.343750 -63.801643 -118.716331 -40.948929 136.108643 -1.954830e+01 -2.012069e+01
367082 53164.125000 41994.562500 63952.863281 169.910690 156.745483 -114.636047 92.090736 -1.786341e+01 -1.860008e+01
367083 53375.835938 42086.355469 64322.550781 149.482697 -206.555542 -64.336235 64.706619 -1.636422e+01 -1.695304e+01
367084 53241.871094 42019.460938 64202.597656 142.622131 -91.730453 -180.065430 42.083290 -1.211175e+01 -1.272627e+01
367085 53220.554688 42077.511719 64039.855469 -99.474091 -255.331329 -29.063837 44.174915 -1.236688e+01 -1.298521e+01
367086 53534.800781 41945.148438 64053.820312 -172.719299 -33.606091 -83.737892 33.157631 -8.871593e+00 -9.438617e+00
367087 53344.167969 42030.746094 64095.699219 184.442703 -54.786335 -72.785400 37.628735 -1.494214e+01 -1.571080e+01
367088 53443.152344 42071.847656 64139.386719 80.107651 34.183441 56.604088 34.684761 -1.457302e+01 -1.532507e+01
367089 53016.882812 41851.367188 64022.687500 0.566301 -17.538780 -201.074097 35.938290 -1.203640e+01 -1.249515e+01
367090 53402.300781 42055.003906 64164.472656 -9.523195 51.914703 62.569439 37.961407 -1.338097e+01 -1.407682e+01
367091 53375.164062 42083.828125 64198.996094 -128.624710 58.135422 102.443642 32.461109 -1.139579e+01 -1.202373e+01
367092 53481.050781 41962.953125 64158.003906 -99.950180 -82.849571 -213.990479 25.531593 1.000000e+37 1.000000e+37
367093 53414.417969 42189.363281 63854.609375 101.678680 -40.074337 177.648315 24.404776 -8.513099e+00 -9.078084e+00
367094 53510.726562 41980.421875 64130.359375 -14.472555 -32.428844 -100.911674 29.945379 -1.015915e+01 -1.071974e+01
