#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun
366800 656 30225.726562 24950.535156 69848.914062 -90.429810 111.564377 -10.960785 209.181351 -2.089686e+01 -2.150072e+01 4.411840
366801 656 30139.208984 24959.937500 69692.070312 -41.551338 134.302612 -14.848059 121.282845 -1.934900e+01 -1.989380e+01 0.679563
366802 656 30174.494141 25020.759766 69678.039062 80.466400 267.963470 36.788197 79.523338 -1.785976e+01 -1.829036e+01 0.104898
366803 656 30294.753906 25010.115234 70041.992188 -244.231613 -37.579445 -107.247543 67.586075 -1.643178e+01 -1.686927e+01 0.029522
366804 656 30166.939453 25004.050781 69713.203125 236.231567 234.036011 34.139965 73.954613 -1.748768e+01 -1.782797e+01 0.049759
366805 656 30219.191406 24862.224609 69876.351562 -219.751541 218.064651 -190.721680 74.611938 -1.707341e+01 -1.768314e+01 0.101496
366806 656 30376.730469 25025.179688 69800.500000 -149.418732 322.552856 85.228195 47.697353 -1.367695e+01 -1.427363e+01 0.004145
366807 656 30314.798828 24810.251953 69695.554688 -70.900322 -117.700966 37.689735 42.929897 -1.257633e+01 -1.317128e+01 0.001496
366808 656 30218.898438 25201.498047 70032.562500 98.986061 86.724022 -13.549356 34.077435 -1.173667e+01 -1.234409e+01 0.000786
366809 656 30300.476562 25054.908203 69840.703125 12.009669 238.388596 -29.304878 24.517479 -1.550865e+01 -1.604930e+01 0.011724
366810 656 30114.861328 24923.142578 69911.570312 -318.713470 187.062057 -87.214859 31.529615 -1.031466e+01 -1.086873e+01 0.000262
366811 656 30211.449219 24725.732422 70000.273438 11.680277 51.940033 -86.490005 29.499687 -1.006542e+01 -1.063710e+01 0.000216
366812 656 30144.472656 24759.085938 69709.210938 -121.523262 33.552059 -75.556000 28.480350 -1.331566e+01 -1.395208e+01 0.002659
366813 656 30170.685547 25015.007812 69727.687500 175.617935 197.826920 -9.128480 33.165257 -1.270158e+01 -1.329264e+01 0.001614
366814 656 30254.664062 24921.435547 69955.445312 -10.186735 -107.936600 42.328747 29.768209 -1.201417e+01 -1.264719e+01 0.001242
366815 656 30284.546875 24743.562500 69853.781250 7.759661 64.922813 -153.389496 28.869791 1.000000e+37 1.000000e+37 0.000000
366816 656 30237.265625 25080.730469 69843.414062 -215.254333 397.321106 -97.741577 26.135101 1.000000e+37 1.000000e+37 0.000000
366817 656 30260.298828 24854.634766 70111.187500 -278.084778 131.237762 42.270912 20.569834 1.000000e+37 1.000000e+37 0.000000
366818 656 30345.175781 25136.082031 69756.804688 -151.377472 75.693535 83.556244 28.986427 -1.226233e+01 -1.292756e+01 0.001684
366819 656 30199.285156 24990.935547 69984.687500 -208.590195 281.414276 157.990982 21.177116 1.000000e+37 1.000000e+37 0.000000
366820 656 30136.380859 25054.908203 69721.320312 -98.367775 284.156647 124.866066 26.404305 1.000000e+37 1.000000e+37 0.000000
