#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun/h
303669 263 17289.748047 15082.672852 26751.703125 -188.945587 -15.687687 102.216957 257.259064 -2.112117e+01 -2.199347e+01 10.273997
303673 263 17622.691406 15204.390625 26721.310547 -383.664276 143.747635 251.548096 104.719116 -1.898629e+01 -1.946791e+01 0.387396
303674 263 17472.599609 15388.741211 27005.902344 -275.290955 -122.583717 -171.269913 76.925598 -1.730812e+01 -1.774709e+01 0.059871
303677 263 17505.908203 15370.208984 26769.630859 -406.238525 2.226265 219.664291 66.781502 -1.634249e+01 -1.693667e+01 0.042386
303678 263 17495.628906 15000.882812 26835.414062 -412.682953 30.550510 -203.689774 64.138680 -1.600575e+01 -1.655257e+01 0.026303
303679 263 17604.406250 15042.464844 26554.587891 -352.868988 61.876221 347.181488 64.237747 -1.580948e+01 -1.630701e+01 0.020140
303680 263 17538.205078 15263.314453 26829.322266 -132.357269 -108.363083 -153.516525 54.583828 -1.497030e+01 -1.547022e+01 0.009550
303681 263 17466.097656 15003.391602 26831.468750 -382.948792 -43.091187 -282.593170 57.419411 -1.487676e+01 -1.537576e+01 0.007065
303683 263 17199.289062 15197.720703 26994.216797 63.999653 -28.434618 -98.795547 48.917423 -1.354810e+01 -1.407559e+01 0.002817
303684 263 17508.173828 15285.089844 26610.068359 -265.010712 88.843994 157.282608 51.392456 -1.476444e+01 -1.544592e+01 0.013609
303689 263 17311.251953 15088.693359 26647.318359 40.080566 -28.964062 -13.373339 44.447021 -1.588833e+01 -1.666348e+01 0.057653
303690 263 17331.054688 15210.931641 27028.587891 -138.648605 -4.900487 249.323074 55.018135 -1.469043e+01 -1.536706e+01 0.012462
303696 263 17258.736328 15160.492188 26714.587891 -149.026871 -415.491180 -175.585037 45.142403 -1.256897e+01 -1.321776e+01 0.002032
303699 263 17389.736328 15403.836914 26857.066406 -42.381783 -12.903126 116.990723 34.242783 -1.093899e+01 -1.155321e+01 0.000532
303701 263 17094.886719 15220.358398 26805.033203 -80.062569 265.626526 180.069168 31.891071 -9.808560e+00 -1.039685e+01 0.000195
303702 263 17270.960938 15030.266602 27020.500000 -404.308075 40.061607 -208.975784 29.567497 -1.080058e+01 -1.141130e+01 0.000457
303706 263 17558.035156 15358.496094 26969.982422 -305.160522 -149.186081 -125.622101 24.353148 1.000000e+37 1.000000e+37 0.000000
303708 263 17445.591797 15017.091797 26866.960938 -429.597931 -114.117439 -269.623352 29.877119 -8.653470e+00 -9.225524e+00 0.000071
303711 263 17371.994141 15270.323242 26870.699219 -88.298691 -200.263290 -96.482460 31.783119 -1.152669e+01 -1.215445e+01 0.000815
303713 263 17539.554688 15373.438477 27103.072266 -342.170959 -41.420586 -193.426865 25.355940 -8.412654e+00 -8.981936e+00 0.000054
303714 263 17286.232422 15151.727539 26807.705078 93.816933 -73.487167 -165.667465 31.773857 -1.259683e+01 -1.327096e+01 0.002420
303715 263 17493.529297 15109.155273 26914.560547 -162.093292 -316.487793 -54.850292 22.714869 1.000000e+37 1.000000e+37 0.000000
303716 263 17455.019531 15173.760742 26789.880859 -273.443115 -328.515228 -76.736282 23.853056 1.000000e+37 1.000000e+37 0.000000
303717 263 17512.208984 14953.279297 26684.179688 73.021049 114.296669 62.149223 23.446238 1.000000e+37 1.000000e+37 0.000000
303721 263 17265.992188 15079.459961 26890.623047 -392.286255 283.311005 104.361641 24.796158 -1.265157e+01 -1.335016e+01 0.002607
303722 263 17578.609375 15302.768555 26883.316406 -451.112854 -108.704697 4.087204 22.162203 1.000000e+37 1.000000e+37 0.000000
303725 263 17285.722656 15062.835938 26740.533203 308.341156 62.533970 -127.477966 35.301262 -1.276736e+01 -1.345943e+01 0.002565
303727 263 17327.671875 15128.872070 26616.562500 29.377230 264.566650 -171.318726 22.950735 1.000000e+37 1.000000e+37 0.000000
303729 263 17426.767578 15401.864258 26948.736328 -253.886337 -92.817764 -164.953537 22.953802 1.000000e+37 1.000000e+37 0.000000
303731 263 17353.921875 15189.388672 26793.451172 118.410019 215.344528 218.153000 22.348450 1.000000e+37 1.000000e+37 0.000000
303732 263 17441.593750 14982.292969 26782.769531 -383.825439 60.684013 -205.641464 21.737843 1.000000e+37 1.000000e+37 0.000000
303733 263 17152.345703 15337.382812 26849.763672 -91.252769 196.219757 8.764281 21.675995 1.000000e+37 1.000000e+37 0.000000
303736 263 17615.412109 15391.517578 26931.388672 -261.117004 -167.535309 -145.055679 18.987621 1.000000e+37 1.000000e+37 0.000000
303737 263 17392.708984 15159.645508 26974.556641 -290.712616 -52.121475 135.516800 23.337284 -1.191916e+01 -1.259459e+01 0.001379
303738 263 17413.203125 15232.650391 26590.632812 -291.069244 49.239185 176.926010 24.521101 -1.041811e+01 -1.103737e+01 0.000346
303740 263 17407.667969 15098.331055 26466.808594 -174.695511 -194.449112 240.329620 20.395210 1.000000e+37 1.000000e+37 0.000000
303741 263 17300.960938 15188.203125 26884.453125 -550.324768 -102.572250 78.887054 22.457066 1.000000e+37 1.000000e+37 0.000000
303742 263 17555.289062 15356.650391 26703.105469 -447.898346 -148.721786 36.735210 19.413324 1.000000e+37 1.000000e+37 0.000000
303745 263 17218.736328 15088.883789 26667.679688 246.712387 22.130243 -43.834038 22.887833 1.000000e+37 1.000000e+37 0.000000
303746 263 17252.679688 15229.915039 26969.039062 -128.653030 -20.516256 16.379637 20.928602 -9.783166e+00 -1.034596e+01 0.000157
303747 263 17484.283203 15250.248047 26727.318359 -88.991463 -301.867706 -61.576824 18.400772 1.000000e+37 1.000000e+37 0.000000
303748 263 17466.675781 15172.538086 26738.302734 -67.478607 -229.137070 -173.740646 18.785419 1.000000e+37 1.000000e+37 0.000000
303749 263 17444.925781 15138.097656 26875.703125 -334.340057 -40.007824 174.033264 22.183628 -1.074327e+01 -1.139513e+01 0.000400
303750 263 17470.718750 14972.900391 26475.029297 -12.908346 -100.061920 -20.436579 16.754816 1.000000e+37 1.000000e+37 0.000000
303752 263 17321.605469 15048.784180 26923.353516 -356.422821 108.120636 239.641281 23.268305 -8.726796e+00 -9.286332e+00 0.000065
303753 263 17027.267578 15163.022461 26677.074219 52.433430 -11.173718 29.578049 17.807686 1.000000e+37 1.000000e+37 0.000000
303754 263 17387.585938 15080.776367 26745.832031 -519.703674 45.556080 -252.191452 20.176992 1.000000e+37 1.000000e+37 0.000000
303755 263 17453.089844 14966.549805 26663.673828 12.371719 237.250977 129.878403 18.032606 1.000000e+37 1.000000e+37 0.000000
303756 263 17401.361328 15394.183594 27040.533203 -269.133911 -70.827240 -202.570999 19.099274 1.000000e+37 1.000000e+37 0.000000
303757 263 17634.775391 15072.022461 26667.248047 -120.103127 66.226807 176.971786 20.807034 -9.360769e+00 -9.920982e+00 0.000116
303758 263 17281.078125 15111.799805 26888.123047 93.161209 36.694073 -217.882568 19.455999 1.000000e+37 1.000000e+37 0.000000
303759 263 17293.593750 15020.863281 26694.783203 -369.503723 -195.171585 -248.684372 23.380495 -1.186628e+01 -1.250700e+01 0.001008
303760 263 17635.578125 15000.560547 26719.917969 -282.480988 -83.962776 -117.770164 18.674246 1.000000e+37 1.000000e+37 0.000000
303761 263 17483.966797 15109.503906 26857.871094 -224.624802 -175.223801 115.936554 20.185534 1.000000e+37 1.000000e+37 0.000000
303762 263 17510.890625 15360.974609 26789.876953 -325.711212 13.315074 250.287445 22.991550 -8.888992e+00 -9.448430e+00 0.000075
303763 263 17364.949219 15047.499023 26695.541016 27.695631 157.324921 -122.528763 24.135077 -1.057985e+01 -1.113771e+01 0.000299
303765 263 17372.335938 15146.552734 26861.492188 -269.333710 -39.523392 -55.295135 22.111298 1.000000e+37 1.000000e+37 0.000000
303766 263 17107.027344 15145.709961 26621.894531 69.150337 141.605118 7.910324 17.702950 1.000000e+37 1.000000e+37 0.000000
303769 263 17264.332031 15051.422852 26576.312500 -440.844879 -250.590363 -224.832764 18.212967 1.000000e+37 1.000000e+37 0.000000
303772 263 17252.525391 15145.673828 26976.388672 12.353459 24.578125 157.874908 20.350576 -8.487874e+00 -9.052110e+00 0.000055
303774 263 17604.974609 15019.832031 26629.011719 -319.065338 -80.498154 -112.869492 15.352902 1.000000e+37 1.000000e+37 0.000000
303777 263 17301.328125 15141.396484 26637.621094 -297.370605 -330.623901 -216.033600 15.815262 1.000000e+37 1.000000e+37 0.000000
303778 263 17379.261719 15001.981445 26474.074219 -120.125885 -62.832813 -96.350670 13.865073 -1.208517e+01 -1.220561e+01 0.000058
303779 263 17406.917969 15158.935547 26779.011719 -69.379135 -123.695618 274.136871 21.585779 -9.051881e+00 -9.614741e+00 0.000091
303783 263 17456.281250 15105.535156 26538.148438 -171.664017 80.545967 144.708511 15.754887 1.000000e+37 1.000000e+37 0.000000
303785 263 17510.455078 15420.106445 27040.472656 -302.803986 -64.293358 -139.311050 16.144012 1.000000e+37 1.000000e+37 0.000000
303786 263 17309.578125 15188.035156 26907.587891 -463.595032 -197.075592 -117.825890 13.508144 1.000000e+37 1.000000e+37 0.000000
303787 263 17269.054688 15079.843750 26571.486328 -385.650238 -257.055359 -212.170807 17.611269 1.000000e+37 1.000000e+37 0.000000
303788 263 17454.669922 15424.298828 26987.445312 -244.070557 -30.917280 -166.591583 15.976540 1.000000e+37 1.000000e+37 0.000000
303791 263 17337.671875 15128.964844 26806.380859 -483.902832 -7.100354 33.706749 20.123175 -9.222764e+00 -9.825127e+00 0.000090
303793 263 17531.216797 15451.972656 27058.570312 -266.577850 -137.400436 -183.477676 15.325768 1.000000e+37 1.000000e+37 0.000000
303794 263 17302.361328 15074.327148 26629.445312 274.567810 -66.134941 110.070213 14.370999 1.000000e+37 1.000000e+37 0.000000
303797 263 17334.021484 15106.833008 26999.617188 -340.811005 -44.792294 -297.461792 12.936605 1.000000e+37 1.000000e+37 0.000000
303798 263 17369.794922 15432.554688 26843.001953 -99.684448 -271.360382 24.849239 12.982223 1.000000e+37 1.000000e+37 0.000000
303801 263 17314.355469 15018.818359 26658.283203 -370.103668 67.281212 -34.626236 16.940144 -1.042560e+01 -1.115783e+01 0.000349
303806 263 17438.316406 15145.955078 26878.751953 -160.076401 -223.956329 -141.558838 17.618465 -8.498283e+00 -9.068669e+00 0.000060
303807 263 17328.789062 15280.923828 26926.960938 -127.934547 146.184158 190.920197 13.195433 1.000000e+37 1.000000e+37 0.000000
303810 263 17416.533203 15012.132812 26938.933594 -348.176880 40.354431 -276.117828 12.354697 1.000000e+37 1.000000e+37 0.000000
303812 263 17380.035156 14988.797852 26955.802734 -226.408447 208.421509 215.767975 15.010917 1.000000e+37 1.000000e+37 0.000000
303813 263 17027.763672 15154.458984 26861.529297 60.107471 -125.752251 97.444427 12.917841 1.000000e+37 1.000000e+37 0.000000
