#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun/h
396377 1015 28926.570312 29078.927734 51393.769531 -202.574677 105.857521 -124.894501 216.068329 -2.077641e+01 -2.134468e+01 3.666521
396378 1015 28989.837891 29142.691406 51267.546875 -102.462860 -30.542559 -173.268448 83.281555 -1.810816e+01 -1.846548e+01 0.115835
396379 1015 29004.664062 28997.224609 51494.519531 -314.286469 -29.556400 -219.954132 60.611565 -1.589416e+01 -1.635908e+01 0.021719
396380 1015 28869.435547 28987.439453 51479.824219 -118.044510 220.452225 -45.712376 64.734856 -1.597517e+01 -1.656787e+01 0.039390
396381 1015 28792.402344 29019.421875 51496.445312 -183.469376 159.794632 -14.873233 45.663441 -1.435383e+01 -1.483081e+01 0.005902
396382 1015 28978.732422 28966.824219 51327.925781 -250.891495 56.977283 -40.827602 43.315170 -1.452710e+01 -1.509443e+01 0.007586
396383 1015 29105.722656 28922.830078 51386.390625 -13.393184 250.235825 -18.816687 27.607458 1.000000e+37 1.000000e+37 0.000000
396384 1015 28926.953125 29066.089844 51376.140625 -355.257965 -17.278931 -35.750313 36.735088 -1.780768e+01 -1.778401e+01 0.007104
396385 1015 28942.306641 29091.322266 51382.519531 -248.185196 -15.792576 -289.398193 29.396233 -1.653733e+01 -1.661840e+01 0.003158
396386 1015 28963.376953 29129.673828 51443.484375 -77.929085 122.018684 -232.564697 30.826851 -1.289813e+01 -1.363512e+01 0.003618
396387 1015 28846.962891 29052.914062 51464.250000 -206.963028 231.501633 -179.167435 32.134338 -1.251399e+01 -1.319134e+01 0.002269
396388 1015 28922.330078 29198.642578 51204.132812 -92.309685 77.781395 -142.432861 27.003235 -8.755661e+00 -9.308758e+00 0.000062
396389 1015 28932.804688 29091.378906 51409.632812 -56.016548 160.245560 -247.709625 26.611244 -1.661667e+01 -1.659586e+01 0.002604
396390 1015 29063.464844 29122.806641 51293.390625 -169.118637 -55.727745 -316.937378 20.089041 1.000000e+37 1.000000e+37 0.000000
396391 1015 28887.126953 29198.693359 51434.773438 -155.848007 -76.474686 87.684692 21.545330 1.000000e+37 1.000000e+37 0.000000
396392 1015 28927.796875 29091.005859 51413.648438 -26.354795 201.749146 -192.068314 21.126059 -1.593008e+01 -1.609086e+01 0.003222
396393 1015 28875.167969 29104.796875 51274.179688 28.776735 109.475594 -298.863892 19.212011 1.000000e+37 1.000000e+37 0.000000
396394 1015 29163.267578 29121.333984 51239.355469 -418.838257 97.437256 -188.929733 15.657799 1.000000e+37 1.000000e+37 0.000000
396395 1015 28916.041016 29062.339844 51392.636719 -294.261169 151.753540 79.447609 18.791655 -1.610719e+01 -1.626032e+01 0.003318
396396 1015 28950.376953 28983.580078 51327.125000 -205.529022 75.210388 13.562842 26.049755 -9.772595e+00 -1.036331e+01 0.000149
396397 1015 28916.839844 29059.410156 51384.273438 -337.412872 77.875580 48.721561 19.880993 -1.635082e+01 -1.629443e+01 0.001913
396398 1015 28958.808594 28882.812500 51404.796875 -110.602531 302.487274 -127.781830 18.566853 1.000000e+37 1.000000e+37 0.000000
396399 1015 29013.041016 29183.683594 51243.632812 -94.714897 5.806919 -248.131393 22.716396 -9.865026e+00 -1.046107e+01 0.000213
396400 1015 28832.337891 28989.785156 51467.812500 -370.040161 277.644348 15.124893 15.064532 1.000000e+37 1.000000e+37 0.000000
396401 1015 28871.871094 28889.636719 51432.175781 -227.917221 77.415352 45.047745 19.042768 -9.042790e+00 -9.611038e+00 0.000096
396402 1015 29023.099609 29070.535156 51280.972656 -253.279160 -85.342880 -42.741817 18.718401 1.000000e+37 1.000000e+37 0.000000
396403 1015 29020.156250 29185.683594 51259.179688 -285.061615 -72.742851 -97.773621 21.503563 1.000000e+37 1.000000e+37 0.000000
396404 1015 28911.671875 29081.261719 51413.996094 -122.138382 280.695190 -43.552910 17.097422 -1.524741e+01 -1.534281e+01 0.001068
396405 1015 28909.041016 28914.550781 51262.554688 -238.503815 270.821014 -162.865005 15.676970 1.000000e+37 1.000000e+37 0.000000
396406 1015 29001.490234 29103.539062 51471.152344 -130.781860 -52.637283 -61.904266 16.313152 1.000000e+37 1.000000e+37 0.000000
396407 1015 29129.185547 29143.642578 51253.578125 -424.761261 76.702347 -192.072525 13.263577 1.000000e+37 1.000000e+37 0.000000
396408 1015 29083.896484 28929.683594 51374.156250 -22.910131 240.872406 -20.322437 15.104603 1.000000e+37 1.000000e+37 0.000000
396409 1015 29028.712891 29097.734375 51369.074219 -287.547455 164.579468 -369.943054 15.163264 1.000000e+37 1.000000e+37 0.000000
396410 1015 29010.566406 29172.142578 51382.195312 -253.669296 196.305908 -270.346130 16.770929 1.000000e+37 1.000000e+37 0.000000
396411 1015 29039.101562 29216.939453 51414.972656 -71.478973 28.840643 -340.673462 11.887271 1.000000e+37 1.000000e+37 0.000000
396412 1015 28884.296875 29010.599609 51181.292969 -91.432716 6.781248 -109.306694 15.091625 1.000000e+37 1.000000e+37 0.000000
396413 1015 28932.242188 29147.675781 51495.472656 -388.989044 95.297462 -4.972600 14.149038 1.000000e+37 1.000000e+37 0.000000
396414 1015 28879.232422 28906.033203 51376.574219 -145.972565 265.704681 -25.424454 15.364381 1.000000e+37 1.000000e+37 0.000000
396415 1015 28852.664062 29067.884766 51359.695312 -255.313934 141.380722 90.892960 18.646509 1.000000e+37 1.000000e+37 0.000000
396416 1015 28958.447266 28956.419922 51228.238281 -41.136433 267.178833 -203.252853 13.244448 1.000000e+37 1.000000e+37 0.000000
396417 1015 28856.935547 28943.089844 51469.378906 -194.624710 156.911484 -200.751312 16.109819 -8.761764e+00 -9.426377e+00 0.000076
396418 1015 28851.882812 29008.867188 51376.171875 -223.048264 373.285187 -95.251808 12.074844 1.000000e+37 1.000000e+37 0.000000
396419 1015 28872.919922 29064.347656 51659.785156 -175.784164 144.602295 -117.859177 15.075008 1.000000e+37 1.000000e+37 0.000000
396420 1015 28984.666016 29007.941406 51406.375000 -222.745926 172.643127 124.002747 15.113914 1.000000e+37 1.000000e+37 0.000000
396421 1015 29023.320312 29151.943359 51371.144531 -123.590530 274.484741 7.752611 13.037105 1.000000e+37 1.000000e+37 0.000000
396422 1015 28957.507812 29092.755859 51194.480469 -89.447166 -9.829354 -223.762711 12.578556 1.000000e+37 1.000000e+37 0.000000
396423 1015 28910.058594 29182.478516 51376.660156 -61.900543 226.297943 -16.941698 16.579559 1.000000e+37 1.000000e+37 0.000000
396424 1015 29018.298828 28910.816406 51215.628906 -8.998434 171.919556 39.098724 9.504117 1.000000e+37 1.000000e+37 0.000000
396425 1015 28958.080078 29009.220703 51479.207031 -25.684715 195.080475 -57.446869 14.620402 1.000000e+37 1.000000e+37 0.000000
396426 1015 29179.714844 29123.359375 51200.554688 -37.691479 114.434868 -154.953156 11.756588 1.000000e+37 1.000000e+37 0.000000
396427 1015 28922.160156 29048.636719 51383.855469 -145.422516 94.768784 223.713074 15.663475 -9.467325e+00 -1.005361e+01 0.000135
396428 1015 29052.279297 29057.152344 51303.843750 -360.461456 215.162231 -201.210510 12.525143 1.000000e+37 1.000000e+37 0.000000
396429 1015 28749.394531 29048.130859 51288.679688 -203.946396 37.478436 -7.665987 13.610191 1.000000e+37 1.000000e+37 0.000000
396430 1015 29013.466797 28985.546875 51323.460938 6.381778 224.291794 80.588272 10.688059 1.000000e+37 1.000000e+37 0.000000
396431 1015 28918.812500 29154.404297 51504.277344 -348.026581 61.733925 -3.182599 12.167428 1.000000e+37 1.000000e+37 0.000000
396432 1015 29071.564453 29075.804688 51348.343750 -104.230919 -16.451071 -196.907120 11.524268 1.000000e+37 1.000000e+37 0.000000
396433 1015 28868.595703 29049.748047 51448.449219 -293.821838 -197.802292 -57.444565 13.360652 1.000000e+37 1.000000e+37 0.000000
396434 1015 29014.914062 29069.554688 51223.539062 -308.022369 41.505165 20.101841 12.340336 1.000000e+37 1.000000e+37 0.000000
396435 1015 28791.496094 29087.666016 51292.671875 -241.732178 203.662445 -195.636826 9.569516 1.000000e+37 1.000000e+37 0.000000
396436 1015 28907.845703 28846.392578 51413.875000 -235.656448 179.855743 89.472641 9.758771 1.000000e+37 1.000000e+37 0.000000
396437 1015 28948.421875 29090.951172 51462.949219 45.363838 103.212830 -227.535416 14.170019 1.000000e+37 1.000000e+37 0.000000
396438 1015 28959.445312 29043.523438 51360.550781 -385.093536 362.864746 -31.504984 13.642620 1.000000e+37 1.000000e+37 0.000000
396439 1015 28788.253906 29007.005859 51309.953125 -332.877441 179.809753 -137.479004 11.069992 1.000000e+37 1.000000e+37 0.000000
396440 1015 29070.681641 28925.382812 51370.550781 -3.454995 242.450043 17.312534 11.219406 1.000000e+37 1.000000e+37 0.000000
396441 1015 29000.316406 29109.738281 51435.312500 -152.372360 310.519562 -226.323746 13.613987 1.000000e+37 1.000000e+37 0.000000
396442 1015 28999.873047 29049.658203 51289.027344 -227.752747 6.154722 88.623215 13.174106 1.000000e+37 1.000000e+37 0.000000
396443 1015 28938.960938 29140.080078 51241.929688 -245.343643 -50.355263 45.561176 11.915242 1.000000e+37 1.000000e+37 0.000000
396444 1015 29097.154297 29216.083984 51194.035156 -107.284561 233.910751 -69.666061 8.067478 1.000000e+37 1.000000e+37 0.000000
396445 1015 29020.503906 29098.125000 51214.265625 -240.909500 -26.058676 -27.388090 11.371868 1.000000e+37 1.000000e+37 0.000000
396446 1015 28960.623047 29151.757812 51381.394531 -128.856812 4.445222 -216.645020 16.982508 -8.606485e+00 -9.244246e+00 0.000061
396447 1015 29033.335938 29092.701172 51294.019531 -193.439423 248.574158 36.344189 10.569332 1.000000e+37 1.000000e+37 0.000000
396448 1015 29088.779297 29201.720703 51247.906250 -143.400467 80.067398 -166.605270 7.915855 1.000000e+37 1.000000e+37 0.000000
396449 1015 28873.445312 29010.861328 51223.726562 -75.617134 30.546488 -132.340912 10.223827 1.000000e+37 1.000000e+37 0.000000
396450 1015 29075.783203 28964.730469 51253.503906 -432.905518 138.013168 -194.576279 7.429880 1.000000e+37 1.000000e+37 0.000000
396451 1015 28855.052734 29148.687500 51453.226562 -218.007202 -41.158981 77.462418 11.892825 1.000000e+37 1.000000e+37 0.000000
396452 1015 28884.851562 29044.976562 51224.136719 -65.069305 269.208160 -268.443268 7.247684 1.000000e+37 1.000000e+37 0.000000
