#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG
#subID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags
410178 35587.660156 50091.648438 37006.941406 -90.688446 30.220453 164.314560 200.844818 -2.047571e+01 -2.111963e+01
410179 35591.132812 50103.160156 36778.281250 35.400482 38.637169 55.970547 46.602470 -1.391166e+01 -1.444596e+01
410180 35696.699219 49922.542969 36990.070312 -15.202600 -48.903976 26.914312 42.636562 -1.357598e+01 -1.391580e+01
410181 35483.007812 50115.917969 37264.882812 11.972501 -16.997271 158.736771 30.405926 -1.056970e+01 -1.114931e+01
410182 35564.265625 50210.855469 37051.128906 -154.479141 -17.011255 218.724930 36.840691 -1.379884e+01 -1.453102e+01
410183 35613.953125 50102.523438 36887.593750 -363.633331 34.861729 147.055038 28.198982 -9.031318e+00 -9.582207e+00
410184 35713.640625 50097.843750 36984.292969 -246.937134 168.173950 89.683182 31.333439 -1.176645e+01 -1.238930e+01
410185 35582.046875 49974.476562 37062.789062 -107.437904 167.618469 67.589508 30.661692 -1.264651e+01 -1.332301e+01
410186 35595.757812 49982.933594 37004.191406 123.048927 -120.015305 160.010437 24.934340 1.000000e+37 1.000000e+37
410187 35451.351562 50144.683594 37003.304688 14.491294 25.093828 366.488068 22.630955 1.000000e+37 1.000000e+37
410188 35525.250000 50158.312500 37238.457031 -228.313507 -8.584652 80.317787 18.311979 1.000000e+37 1.000000e+37
410189 35424.769531 50234.582031 37000.628906 59.494446 0.709219 65.211372 17.995451 1.000000e+37 1.000000e+37
410190 35806.480469 50068.902344 36948.613281 -169.414230 50.024170 81.646614 22.052111 1.000000e+37 1.000000e+37
410191 35594.390625 50161.550781 37080.000000 -329.327515 -13.301681 80.666092 19.995874 1.000000e+37 1.000000e+37
410192 35590.929688 50164.285156 37043.199219 145.657974 -97.042244 45.885342 22.275169 1.000000e+37 1.000000e+37
410193 35367.457031 50091.199219 36989.988281 -66.664391 52.517742 -41.970001 18.363995 1.000000e+37 1.000000e+37
410194 35665.714844 50055.046875 36980.433594 -45.946903 -244.960480 100.541283 16.403515 1.000000e+37 1.000000e+37
410195 35738.949219 50187.203125 37024.886719 -160.509521 -55.484352 60.531818 20.733488 1.000000e+37 1.000000e+37
410196 35602.804688 49950.281250 36909.957031 -13.994682 122.467949 246.026993 16.447866 1.000000e+37 1.000000e+37
410197 35539.085938 50134.667969 36758.906250 32.123127 87.089668 25.926338 16.718777 1.000000e+37 1.000000e+37
410198 35453.832031 50273.882812 37045.933594 -76.854942 -168.939011 135.118652 14.250422 1.000000e+37 1.000000e+37
410199 35567.781250 50082.886719 36925.296875 -106.479507 -182.086838 59.618347 15.279777 1.000000e+37 1.000000e+37
410200 35415.238281 50186.812500 36955.863281 27.742405 -23.612257 181.411743 15.964648 1.000000e+37 1.000000e+37
410201 35577.710938 50165.332031 37108.656250 -209.600693 -84.632500 266.823029 17.108650 1.000000e+37 1.000000e+37
410202 35393.511719 50209.718750 36996.195312 46.056526 9.324177 47.102966 11.227391 1.000000e+37 1.000000e+37
410203 35590.933594 49968.945312 36965.761719 149.286209 -16.120991 191.312195 13.503733 1.000000e+37 1.000000e+37
410204 35735.386719 49921.613281 36907.109375 -93.916168 143.706100 175.368820 11.022674 1.000000e+37 1.000000e+37
410205 35499.347656 50099.789062 37111.781250 -92.064178 223.334763 166.452896 14.787704 1.000000e+37 1.000000e+37
410206 35504.246094 49914.820312 37076.375000 -229.493866 -86.535484 146.780579 12.246451 1.000000e+37 1.000000e+37
410207 35592.445312 50178.027344 36942.613281 -185.289444 -45.197357 97.932533 17.918371 1.000000e+37 1.000000e+37
410208 35413.496094 50158.964844 36993.644531 -254.231827 96.276703 265.587433 12.663934 1.000000e+37 1.000000e+37
410209 35500.425781 50065.722656 37301.523438 -7.850684 -20.473669 166.869095 15.518875 1.000000e+37 1.000000e+37
410210 35558.828125 50008.375000 37112.785156 -119.059929 17.618277 399.225800 10.635590 1.000000e+37 1.000000e+37
410211 35611.402344 50139.488281 36905.085938 -28.203947 -60.038059 253.683029 14.472010 1.000000e+37 1.000000e+37
410212 35515.726562 49943.992188 36996.246094 121.393669 22.942762 112.724525 11.222968 1.000000e+37 1.000000e+37
410213 35436.429688 50192.457031 36948.085938 96.697723 42.325069 105.988319 10.716786 1.000000e+37 1.000000e+37
410214 35478.726562 50115.222656 37039.890625 -120.378197 15.089494 -118.889603 11.721422 1.000000e+37 1.000000e+37
410215 35517.691406 49997.050781 36885.691406 -120.359039 -140.426102 32.668495 10.709114 1.000000e+37 1.000000e+37
410216 35538.214844 49964.886719 36921.265625 -164.364594 266.195282 134.126755 7.810744 1.000000e+37 1.000000e+37
