#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun/h
433174 1799 17595.099609 67635.882812 50120.847656 14.605534 -212.001495 5.764914 164.660782 -2.119316e+01 -2.147554e+01 1.295837
433175 1799 17561.318359 67548.960938 50101.074219 186.371216 -126.110474 -134.362518 83.905312 -1.783919e+01 -1.820715e+01 0.064926
433176 1799 17543.910156 67646.468750 50108.980469 69.415512 -229.359726 -102.119286 65.921028 -1.782801e+01 -1.825361e+01 0.086680
433177 1799 17571.771484 67633.187500 50119.023438 -104.957733 -131.782822 -35.281139 68.826591 -1.902217e+01 -1.916694e+01 0.102417
433178 1799 17532.871094 67671.750000 50142.683594 115.675018 -368.482971 -115.630272 35.334869 -1.029505e+01 -1.088078e+01 0.000259
433179 1799 17646.998047 67654.570312 50029.906250 59.490456 -169.357941 24.678909 31.573795 -1.402538e+01 -1.461041e+01 0.003644
433180 1799 17541.904297 67637.476562 50103.804688 121.617500 -151.812637 -169.107712 40.465416 -1.464349e+01 -1.496842e+01 0.003252
433181 1799 17644.935547 67691.507812 50294.054688 72.423195 -309.421844 -8.969482 20.184065 1.000000e+37 1.000000e+37 0.000000
433182 1799 17639.871094 67644.679688 49951.785156 20.210419 -278.532837 102.136589 23.020235 1.000000e+37 1.000000e+37 0.000000
433183 1799 17539.021484 67539.375000 50279.320312 68.551239 -175.236328 -45.534615 20.904263 1.000000e+37 1.000000e+37 0.000000
433184 1799 17543.953125 67727.929688 50024.070312 109.332367 -173.069000 -111.596962 21.382792 -8.305593e+00 -8.877782e+00 0.000052
433185 1799 17439.707031 67606.710938 50118.722656 -46.225559 -113.094620 -124.924835 17.075504 1.000000e+37 1.000000e+37 0.000000
433186 1799 17556.128906 67672.695312 49965.718750 57.550770 -264.120514 110.488327 18.325802 1.000000e+37 1.000000e+37 0.000000
433187 1799 17564.867188 67535.039062 50102.367188 196.776367 -7.271116 -111.003296 27.067617 -1.006496e+01 -1.064915e+01 0.000232
433188 1799 17457.259766 67651.445312 50190.074219 96.514427 -321.849945 -94.829987 15.550201 1.000000e+37 1.000000e+37 0.000000
433189 1799 17524.314453 67644.117188 50139.578125 -26.745432 -30.162693 -69.165764 20.041567 1.000000e+37 1.000000e+37 0.000000
433190 1799 17550.535156 67630.453125 50133.242188 62.457748 -325.163513 -171.401718 20.518438 1.000000e+37 1.000000e+37 0.000000
433191 1799 17624.605469 67588.265625 50108.148438 158.429733 -77.411858 -155.600159 19.814335 -8.220571e+00 -8.790958e+00 0.000046
433192 1799 17531.541016 67478.570312 50233.980469 -7.165799 -154.726471 24.014824 16.666430 1.000000e+37 1.000000e+37 0.000000
433193 1799 17439.609375 67554.265625 50177.257812 155.588287 -112.517731 2.969133 16.679594 1.000000e+37 1.000000e+37 0.000000
433194 1799 17680.283203 67554.031250 50057.996094 -116.874527 -87.293304 -15.049612 15.805616 1.000000e+37 1.000000e+37 0.000000
433195 1799 17624.937500 67545.921875 50036.246094 1.974890 -302.150055 -39.996643 16.963263 1.000000e+37 1.000000e+37 0.000000
433196 1799 17609.125000 67650.562500 50144.687500 -11.361598 -32.993458 -16.122360 20.869272 1.000000e+37 1.000000e+37 0.000000
433197 1799 17668.267578 67575.585938 50194.300781 146.125717 -249.036316 -74.859299 12.622081 1.000000e+37 1.000000e+37 0.000000
433198 1799 17548.234375 67617.398438 50027.527344 -91.628593 -351.086060 71.709999 13.782085 1.000000e+37 1.000000e+37 0.000000
433199 1799 17562.707031 67679.757812 50049.222656 -40.180794 -287.353485 -53.425892 16.737785 1.000000e+37 1.000000e+37 0.000000
433200 1799 17755.359375 67653.070312 50033.113281 71.752617 -361.115540 -59.946133 12.718638 1.000000e+37 1.000000e+37 0.000000
433201 1799 17617.537109 67589.750000 50123.937500 -124.146278 -118.290741 76.222252 16.208590 1.000000e+37 1.000000e+37 0.000000
433202 1799 17426.542969 67611.218750 50208.550781 178.901978 -224.688736 61.236450 11.919762 1.000000e+37 1.000000e+37 0.000000
433203 1799 17621.335938 67681.148438 50258.933594 102.884285 -321.257690 3.394458 9.758459 1.000000e+37 1.000000e+37 0.000000
433204 1799 17492.972656 67478.890625 50241.539062 180.644318 -215.541000 -108.528175 11.632218 1.000000e+37 1.000000e+37 0.000000
433205 1799 17550.158203 67515.945312 50107.164062 143.630402 -168.552322 71.858978 13.289606 1.000000e+37 1.000000e+37 0.000000
433206 1799 17672.074219 67627.117188 50167.449219 -160.050598 -290.072113 -19.245726 15.681798 1.000000e+37 1.000000e+37 0.000000
433207 1799 17719.400391 67629.976562 50133.906250 -86.863647 -241.998520 126.820244 14.549145 1.000000e+37 1.000000e+37 0.000000
433208 1799 17510.787109 67585.070312 50215.105469 213.837204 -209.169937 34.634716 10.308680 1.000000e+37 1.000000e+37 0.000000
433209 1799 17593.291016 67658.804688 50101.421875 -7.744171 -114.764702 -202.834839 19.382460 1.000000e+37 1.000000e+37 0.000000
433210 1799 17605.380859 67658.992188 50036.503906 -159.757492 -157.889984 107.588989 12.602755 1.000000e+37 1.000000e+37 0.000000
433211 1799 17642.509766 67569.421875 50154.128906 -8.007497 -109.516342 95.888321 15.265902 1.000000e+37 1.000000e+37 0.000000
433212 1799 17489.378906 67599.828125 50109.195312 -20.759857 -48.097343 59.359211 11.184510 1.000000e+37 1.000000e+37 0.000000
433213 1799 17552.232422 67615.015625 50105.550781 184.003555 -292.926544 38.142509 16.093813 1.000000e+37 1.000000e+37 0.000000
433214 1799 17592.800781 67574.046875 50056.027344 80.910423 -53.940208 -88.853897 12.103180 1.000000e+37 1.000000e+37 0.000000
433215 1799 17654.544922 67533.656250 50125.980469 83.050949 -110.484459 55.399746 9.696152 1.000000e+37 1.000000e+37 0.000000
433216 1799 17604.798828 67734.687500 49978.789062 119.787727 -326.106812 -41.521626 9.343030 1.000000e+37 1.000000e+37 0.000000
433217 1799 17623.660156 67626.171875 50024.242188 76.038155 -181.645798 -194.608887 11.480532 1.000000e+37 1.000000e+37 0.000000
433218 1799 17479.259766 67533.531250 50173.304688 84.438660 -235.711212 -159.456833 10.336596 1.000000e+37 1.000000e+37 0.000000
433219 1799 17658.748047 67671.015625 50290.742188 43.396122 -303.372070 -37.976093 9.966923 1.000000e+37 1.000000e+37 0.000000
433220 1799 17521.246094 67687.265625 50075.156250 -48.366814 -154.135025 180.855667 10.760910 1.000000e+37 1.000000e+37 0.000000
433221 1799 17602.332031 67581.304688 49970.207031 -55.152519 -291.970673 47.572506 8.228947 1.000000e+37 1.000000e+37 0.000000
433222 1799 17625.732422 67614.875000 50248.035156 61.014198 -110.599342 -28.748812 12.023822 1.000000e+37 1.000000e+37 0.000000
433223 1799 17521.654297 67659.359375 50101.597656 9.604751 -286.221863 -120.171463 13.766212 1.000000e+37 1.000000e+37 0.000000
433224 1799 17615.339844 67601.734375 50183.363281 162.988220 -129.518463 7.660546 9.843399 1.000000e+37 1.000000e+37 0.000000
433225 1799 17561.388672 67698.218750 50070.820312 -85.144371 -262.515137 -53.054184 11.341275 1.000000e+37 1.000000e+37 0.000000
433226 1799 17577.490234 67485.640625 50095.277344 115.196693 -76.458656 -117.604652 10.057999 1.000000e+37 1.000000e+37 0.000000
433227 1799 17630.466797 67583.875000 50152.324219 121.253365 -99.604088 73.332985 10.682876 1.000000e+37 1.000000e+37 0.000000
433228 1799 17548.156250 67588.812500 50160.734375 -91.622932 -81.418709 -26.079914 10.852793 1.000000e+37 1.000000e+37 0.000000
433229 1799 17625.480469 67593.000000 50032.324219 206.392319 -274.500275 77.963753 10.376007 1.000000e+37 1.000000e+37 0.000000
433230 1799 17426.017578 67701.789062 50125.675781 2.002244 -102.005493 -73.502968 9.181598 1.000000e+37 1.000000e+37 0.000000
433231 1799 17678.765625 67760.429688 50115.292969 -110.532547 -177.565140 -62.860722 11.366683 1.000000e+37 1.000000e+37 0.000000
433232 1799 17638.931641 67622.101562 50076.808594 6.896936 -428.601959 -99.320045 9.729282 1.000000e+37 1.000000e+37 0.000000
433233 1799 17536.093750 67653.273438 50040.933594 -85.644424 -364.805267 83.840683 9.923461 1.000000e+37 1.000000e+37 0.000000
433234 1799 17520.179688 67528.531250 50085.281250 218.506042 -103.539543 -164.784897 11.596848 1.000000e+37 1.000000e+37 0.000000
433235 1799 17585.193359 67483.726562 50100.480469 120.010826 -75.926689 -130.434067 12.025232 1.000000e+37 1.000000e+37 0.000000
433236 1799 17670.417969 67620.796875 50159.640625 -120.231071 -228.514053 136.846603 11.069101 1.000000e+37 1.000000e+37 0.000000
433237 1799 17556.878906 67653.875000 50006.476562 120.543579 -190.386230 -81.809196 8.805496 1.000000e+37 1.000000e+37 0.000000
433238 1799 17620.035156 67589.312500 50173.902344 -31.204172 -14.896754 35.874763 11.178022 1.000000e+37 1.000000e+37 0.000000
433239 1799 17560.929688 67567.210938 50159.972656 206.999069 -121.839622 -104.461876 9.953334 1.000000e+37 1.000000e+37 0.000000
433240 1799 17498.375000 67707.609375 50179.722656 -25.738298 -216.645920 -67.720993 10.688797 1.000000e+37 1.000000e+37 0.000000
433241 1799 17513.781250 67610.117188 50181.730469 -6.235303 -75.750832 4.916296 9.544435 1.000000e+37 1.000000e+37 0.000000
452490 2413 18109.187500 69322.445312 49868.113281 69.419510 -162.230682 26.704803 161.096878 -2.050760e+01 -2.098319e+01 1.601851
452491 2413 18071.880859 69229.531250 49848.406250 54.475864 -110.444855 6.160882 89.175743 -1.839600e+01 -1.882480e+01 0.150726
452492 2413 18124.878906 69320.156250 49782.949219 17.400217 -305.494843 -97.791367 41.668037 -1.283030e+01 -1.334511e+01 0.001465
452493 2413 18120.517578 69239.320312 49792.917969 144.161438 -40.098759 -123.294090 35.942478 -1.261920e+01 -1.321298e+01 0.001452
452494 2413 18131.464844 69304.226562 49777.199219 40.618092 -304.662720 -115.995071 33.085312 -1.233776e+01 -1.277042e+01 0.000469
452495 2413 18142.570312 69281.945312 49796.539062 1.140147 -36.347321 64.535706 34.351852 -1.158866e+01 -1.218288e+01 0.000737
452496 2413 18171.271484 69321.843750 50004.355469 109.100952 -90.606102 160.621414 27.432447 -9.702899e+00 -1.026105e+01 0.000157
452497 2413 18000.548828 69207.531250 49755.531250 -28.994284 -42.942978 34.564415 22.078953 1.000000e+37 1.000000e+37 0.000000
452498 2413 18092.535156 69186.187500 49804.738281 65.481140 -186.172943 53.818237 25.652817 -1.215941e+01 -1.272240e+01 0.000674
452499 2413 18038.755859 69191.312500 49868.453125 17.936039 -98.557877 11.116757 14.947326 -1.247755e+01 -1.307941e+01 0.000637
452500 2413 18027.732422 69155.687500 49872.980469 -23.281252 -144.090744 27.397682 15.566757 -1.318023e+01 -1.374869e+01 0.000862
452501 2413 18102.865234 69224.570312 49744.093750 146.912125 -231.093872 84.807327 21.778654 1.000000e+37 1.000000e+37 0.000000
452502 2413 18022.412109 69146.140625 49865.007812 -13.892323 -154.115723 8.638912 13.481668 -1.221346e+01 -1.278639e+01 0.000338
452503 2413 18148.730469 69310.132812 49797.187500 145.205551 -299.271118 56.439312 19.460175 1.000000e+37 1.000000e+37 0.000000
452504 2413 18109.765625 69096.507812 49966.296875 138.227600 -96.102913 -20.585985 14.184593 1.000000e+37 1.000000e+37 0.000000
452505 2413 18025.462891 69204.031250 49731.980469 2.544858 -99.541763 5.458008 11.355068 1.000000e+37 1.000000e+37 0.000000
452506 2413 18023.595703 69399.984375 49934.144531 -3.151547 -173.088715 -78.297600 17.226143 1.000000e+37 1.000000e+37 0.000000
452507 2413 17980.820312 69302.117188 49775.269531 -22.390646 -181.832092 132.041534 13.675630 1.000000e+37 1.000000e+37 0.000000
452508 2413 18096.189453 69275.343750 50014.027344 193.326508 -130.027145 -34.043526 13.197939 1.000000e+37 1.000000e+37 0.000000
