#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG
#subID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags
457091 69825.796875 30716.220703 22066.570312 269.755829 -359.018921 -208.931198 160.368073 -2.064949e+01 -2.111386e+01
457092 69842.210938 30857.027344 21970.529297 315.194489 -322.194122 -206.857300 71.111214 -1.653689e+01 -1.723233e+01
457093 69947.859375 30770.958984 21939.166016 176.834778 -425.399872 -218.043396 49.120209 -1.320267e+01 -1.383649e+01
457094 69776.492188 30733.238281 22150.964844 218.704895 -234.531525 -233.522919 18.088045 1.000000e+37 1.000000e+37
457095 69880.343750 30746.791016 22145.908203 246.243896 -416.298523 -34.059975 17.458366 1.000000e+37 1.000000e+37
457096 69804.734375 30743.822266 21895.705078 378.918793 -360.374329 -91.968071 11.242688 1.000000e+37 1.000000e+37
457097 69839.453125 30723.380859 21946.652344 240.190308 -425.902039 -118.786819 15.187020 1.000000e+37 1.000000e+37
457098 69983.562500 30714.732422 21880.263672 187.427551 -264.671539 -305.238495 7.837616 1.000000e+37 1.000000e+37
457099 69868.132812 30762.031250 22130.359375 327.321136 -342.612976 -333.569763 13.831262 1.000000e+37 1.000000e+37
457100 69733.953125 30746.863281 22122.048828 246.037369 -369.867218 -96.212563 12.333919 1.000000e+37 1.000000e+37
457101 69818.710938 30770.976562 21940.500000 402.110535 -404.336212 -91.416100 10.313524 1.000000e+37 1.000000e+37
457102 69901.679688 30641.279297 22063.621094 345.974518 -213.483459 -280.299347 10.194510 1.000000e+37 1.000000e+37
457103 69755.578125 30711.921875 22105.919922 145.193130 -452.231171 -106.144615 12.398883 1.000000e+37 1.000000e+37
457104 69753.562500 30747.814453 22070.486328 152.184082 -419.916626 -154.943039 8.679919 1.000000e+37 1.000000e+37
457105 69943.328125 30654.726562 22162.546875 322.054169 -429.092926 -93.756386 7.965968 1.000000e+37 1.000000e+37
457106 69946.718750 30631.662109 22170.878906 417.953186 -371.043182 -220.375778 8.395728 1.000000e+37 1.000000e+37
457107 69833.351562 30708.179688 22173.646484 401.133301 -270.707886 -275.967224 11.762605 1.000000e+37 1.000000e+37
458655 69577.937500 32020.041016 22496.968750 241.313263 -333.042908 -206.890076 172.968918 -2.134491e+01 -2.171132e+01
458656 69604.703125 32055.763672 22545.927734 61.024837 -287.038269 -249.881882 49.012646 -1.361424e+01 -1.411204e+01
458657 69644.757812 31948.236328 22529.599609 190.712021 -396.779114 -222.225693 37.701839 -1.263363e+01 -1.325263e+01
458658 69502.968750 31980.511719 22410.371094 180.828262 -227.689346 -130.105850 36.488949 -1.129629e+01 -1.192379e+01
458659 69496.867188 31971.035156 22466.740234 184.415436 -356.250885 -123.109581 28.118803 -8.978636e+00 -9.544316e+00
458660 69466.546875 31973.718750 22517.632812 262.702759 -291.888062 -132.531067 26.085548 -8.838583e+00 -9.397905e+00
458661 69558.664062 31969.132812 22539.050781 128.618530 -279.655762 -339.217651 14.969271 1.000000e+37 1.000000e+37
458662 69505.851562 31981.144531 22471.263672 190.263824 -321.757843 -76.442986 20.353874 1.000000e+37 1.000000e+37
458663 69549.179688 31932.275391 22501.287109 149.617554 -253.269119 -216.162369 17.613979 -8.718768e+00 -9.280235e+00
458664 69492.578125 32051.136719 22438.794922 305.628693 -230.007538 -256.025818 15.933569 1.000000e+37 1.000000e+37
458665 69541.359375 32037.720703 22511.207031 160.461655 -526.968689 -215.509689 16.973495 -9.478133e+00 -1.004881e+01
458666 69522.023438 31958.017578 22432.117188 161.872711 -274.173248 -264.419037 17.136133 1.000000e+37 1.000000e+37
458667 69639.078125 32002.847656 22538.974609 69.468277 -248.364929 -223.154419 11.652475 1.000000e+37 1.000000e+37
458668 69508.898438 32077.265625 22530.683594 294.944092 -372.421387 -96.867142 14.674586 1.000000e+37 1.000000e+37
458669 69491.031250 31963.017578 22461.097656 187.804230 -349.219513 -141.109558 12.963234 1.000000e+37 1.000000e+37
458670 69424.195312 32007.248047 22488.775391 335.478607 -291.370392 -210.519028 11.753773 1.000000e+37 1.000000e+37
458671 69595.359375 32111.761719 22616.332031 221.674820 -426.567719 -296.368408 6.893512 1.000000e+37 1.000000e+37
458672 69575.781250 32049.410156 22555.550781 260.512726 -464.754517 -356.860565 10.487312 1.000000e+37 1.000000e+37
458673 69487.640625 32001.644531 22441.861328 190.400238 -250.877838 -194.898483 10.423187 1.000000e+37 1.000000e+37
512501 68646.390625 33442.816406 21307.138672 218.977676 -333.437653 -58.266548 128.219589 -1.960999e+01 -2.010867e+01
512502 68520.937500 33477.421875 21298.095703 214.440781 -266.168274 -3.869551 21.859861 1.000000e+37 1.000000e+37
512503 68573.570312 33495.500000 21323.720703 258.152191 -274.480957 -141.215271 17.913660 1.000000e+37 1.000000e+37
512504 68748.546875 33480.339844 21236.880859 197.670685 -282.311371 -53.869362 20.418015 1.000000e+37 1.000000e+37
512505 68653.617188 33330.738281 21229.982422 206.660629 -321.539795 -15.866122 16.321505 1.000000e+37 1.000000e+37
512506 68534.976562 33505.679688 21296.488281 262.578583 -281.677826 -10.226121 10.829001 1.000000e+37 1.000000e+37
