#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun/h
413494 1322 59951.949219 61468.621094 51293.289062 262.751495 41.290245 -12.933940 207.947433 -2.120234e+01 -2.173723e+01 4.682554
413495 1322 59884.414062 61434.996094 51139.207031 344.823883 20.887064 -8.181105 39.037682 -1.244631e+01 -1.307054e+01 0.001683
413496 1322 59899.007812 61439.058594 51488.082031 387.188965 -24.522869 18.505413 29.442612 -1.026055e+01 -1.084351e+01 0.000283
413497 1322 60104.472656 61490.292969 51096.390625 169.471237 0.590417 131.071167 23.446865 1.000000e+37 1.000000e+37 0.000000
413498 1322 59845.644531 61491.472656 51234.484375 342.066040 60.643578 -134.790359 29.970430 -1.015471e+01 -1.072760e+01 0.000257
413499 1322 60012.609375 61286.402344 51266.812500 188.777893 19.748133 91.274025 22.201395 1.000000e+37 1.000000e+37 0.000000
413500 1322 60088.214844 61382.550781 51190.687500 208.862122 -79.965187 110.694298 19.601831 1.000000e+37 1.000000e+37 0.000000
413501 1322 59834.542969 61489.121094 51319.074219 212.614563 -68.979752 108.918709 19.883671 -8.885114e+00 -9.431260e+00 0.000057
413502 1322 60123.773438 61486.179688 51357.859375 263.293121 172.865860 -201.266998 17.780003 1.000000e+37 1.000000e+37 0.000000
413503 1322 59771.269531 61447.750000 51380.203125 282.635834 59.791618 -25.500723 20.639332 -1.218112e+01 -1.282276e+01 0.001129
413504 1322 59844.015625 61484.140625 51346.253906 367.564301 3.627919 115.183800 23.512697 1.000000e+37 1.000000e+37 0.000000
413505 1322 59890.453125 61271.078125 51301.402344 301.845001 -32.264515 -253.486786 14.428990 1.000000e+37 1.000000e+37 0.000000
413506 1322 59967.863281 61380.660156 51274.402344 89.470848 -90.966248 -137.596298 14.473067 1.000000e+37 1.000000e+37 0.000000
413507 1322 59966.265625 61389.980469 51428.371094 328.269928 127.999367 -119.481804 16.672274 1.000000e+37 1.000000e+37 0.000000
413508 1322 59919.210938 61325.125000 51381.378906 147.490295 78.851555 112.070717 13.978865 1.000000e+37 1.000000e+37 0.000000
413509 1322 60034.093750 61449.882812 51423.468750 411.101776 81.185509 -100.896660 16.115831 1.000000e+37 1.000000e+37 0.000000
413510 1322 59810.523438 61472.609375 51400.519531 243.314926 -81.414375 22.730429 17.328159 1.000000e+37 1.000000e+37 0.000000
413511 1322 60033.554688 61425.613281 51465.062500 289.056793 24.612850 -142.432465 15.249198 1.000000e+37 1.000000e+37 0.000000
413512 1322 60047.957031 61464.398438 51280.480469 207.291519 -161.428024 -11.072595 15.436373 1.000000e+37 1.000000e+37 0.000000
413513 1322 60097.910156 61367.609375 51378.703125 309.027588 110.521324 18.630877 15.989406 1.000000e+37 1.000000e+37 0.000000
413514 1322 59862.156250 61425.179688 51502.371094 166.728256 80.439690 -38.504303 15.298590 1.000000e+37 1.000000e+37 0.000000
413515 1322 59933.652344 61290.421875 51366.136719 276.668945 -88.730408 -255.137268 12.934981 1.000000e+37 1.000000e+37 0.000000
413516 1322 59969.394531 61427.476562 51248.492188 251.165146 -166.740768 154.391968 15.701638 1.000000e+37 1.000000e+37 0.000000
413517 1322 59920.769531 61347.664062 51431.660156 359.023804 -39.994949 -162.780289 11.030876 1.000000e+37 1.000000e+37 0.000000
413518 1322 59920.097656 61483.222656 51122.296875 131.760483 88.170036 36.798832 12.425267 1.000000e+37 1.000000e+37 0.000000
413519 1322 59924.636719 61442.238281 51245.621094 379.340515 -197.002655 -31.139105 11.826005 1.000000e+37 1.000000e+37 0.000000
