#subID	 subGroupNr x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG M_star
#subID	 groupID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags mags 10^10Msun/h
481846 3751 9448.474609 47421.269531 37033.777344 179.053009 88.645813 203.776199 127.950020 -2.004959e+01 -2.047860e+01 0.797281
481847 3751 9393.705078 47341.406250 36877.851562 173.372818 159.859650 278.668762 77.857971 -1.777225e+01 -1.821338e+01 0.100400
481848 3751 9408.425781 47386.890625 37007.226562 269.372711 121.962906 299.150513 80.978203 -1.766690e+01 -1.796638e+01 0.054208
481849 3751 9385.463867 47454.683594 37150.527344 167.249176 47.621323 183.550354 47.744377 -1.387826e+01 -1.440983e+01 0.003516
481850 3751 9376.902344 47263.894531 36803.550781 215.073395 125.765907 302.386780 25.623350 1.000000e+37 1.000000e+37 0.000000
481851 3751 9519.039062 47413.687500 37011.953125 203.355362 39.338001 156.862381 27.434046 -1.109145e+01 -1.170048e+01 0.000534
481852 3751 9400.967773 47428.878906 37174.300781 250.702789 92.690964 163.797394 21.750172 1.000000e+37 1.000000e+37 0.000000
481853 3751 9449.166992 47417.386719 37069.933594 213.695465 -77.838196 265.411438 21.372551 1.000000e+37 1.000000e+37 0.000000
481854 3751 9515.519531 47439.609375 37024.589844 130.324814 198.890533 236.789474 20.593920 1.000000e+37 1.000000e+37 0.000000
481855 3751 9434.411133 47340.542969 36933.906250 298.715912 97.915581 208.302673 19.045990 1.000000e+37 1.000000e+37 0.000000
481856 3751 9379.957031 47493.449219 37179.753906 187.040115 43.964157 177.007629 18.446379 1.000000e+37 1.000000e+37 0.000000
481857 3751 9453.596680 47515.484375 37087.839844 156.648285 -8.150095 197.654800 14.874059 1.000000e+37 1.000000e+37 0.000000
481858 3751 9506.076172 47457.718750 37002.664062 133.798950 69.829727 322.348511 13.704968 1.000000e+37 1.000000e+37 0.000000
481859 3751 9529.128906 47463.433594 37024.496094 13.855989 34.128597 237.836777 12.733857 1.000000e+37 1.000000e+37 0.000000
508127 5532 9819.856445 46891.566406 37208.195312 136.197723 48.091499 252.830978 132.951050 -1.985357e+01 -2.028478e+01 0.820543
508128 5532 9792.935547 46893.679688 37238.937500 99.705971 -93.117973 302.952179 52.138325 -1.493684e+01 -1.539020e+01 0.008392
508129 5532 9871.256836 46873.925781 37205.945312 176.098663 -43.654694 345.317780 34.831726 -1.080673e+01 -1.138911e+01 0.000382
508130 5532 9851.937500 46891.585938 37238.257812 223.629395 154.663849 291.367401 16.019209 1.000000e+37 1.000000e+37 0.000000
508131 5532 9821.250000 46953.320312 37288.628906 -10.636494 20.879574 204.444992 9.606853 1.000000e+37 1.000000e+37 0.000000
508132 5532 9715.495117 46845.195312 37221.089844 277.748230 85.263947 308.330322 9.752617 1.000000e+37 1.000000e+37 0.000000
508133 5532 9801.685547 46914.339844 37225.281250 -60.547260 -41.392403 177.178787 12.724742 1.000000e+37 1.000000e+37 0.000000
523324 6891 9749.097656 46445.984375 36155.953125 109.120735 -5.950253 229.566742 112.569313 -1.946300e+01 -1.982100e+01 0.317313
523325 6891 9780.518555 46420.515625 36078.285156 37.050835 41.246876 289.500061 37.698750 -1.165024e+01 -1.218738e+01 0.000521
523326 6891 9633.604492 46461.589844 36091.226562 63.308392 83.932053 219.443787 35.104290 -1.037864e+01 -1.095245e+01 0.000255
523327 6891 9767.011719 46442.773438 36186.894531 33.887695 -37.947533 291.207794 19.303453 -9.439143e+00 -1.003646e+01 0.000113
523328 6891 9745.327148 46434.863281 36173.582031 0.226714 -4.047120 203.250549 22.677565 -1.163062e+01 -1.225962e+01 0.000517
523329 6891 9810.935547 46491.796875 36205.531250 113.862206 -60.392559 208.194199 16.341015 1.000000e+37 1.000000e+37 0.000000
523330 6891 9838.936523 46458.449219 36179.933594 28.986206 -0.691300 274.075165 14.684843 1.000000e+37 1.000000e+37 0.000000
541450 8922 10292.625000 45361.371094 34872.425781 92.094612 -69.068748 119.156372 25.583303 1.000000e+37 1.000000e+37 0.000000
541451 8922 10219.328125 45328.230469 34854.917969 104.084984 -37.736561 92.994812 16.438602 1.000000e+37 1.000000e+37 0.000000
549323 9959 9894.383789 47412.089844 38477.515625 68.091263 -0.403345 415.835815 99.670219 -1.828211e+01 -1.882552e+01 0.235146
549324 9959 9935.093750 47393.175781 38502.722656 72.382805 -56.272984 400.939362 38.214554 -1.329435e+01 -1.388859e+01 0.002527
549325 9959 9828.129883 47307.363281 38443.808594 52.573730 -22.630850 363.630676 17.484447 1.000000e+37 1.000000e+37 0.000000
549326 9959 9916.088867 47399.902344 38431.886719 129.893173 27.967833 481.840057 24.555885 -8.935266e+00 -9.495737e+00 0.000079
549327 9959 9925.170898 47454.628906 38492.210938 131.283798 -31.384686 338.795074 12.121289 1.000000e+37 1.000000e+37 0.000000
549328 9959 9878.987305 47420.652344 38508.808594 -28.032398 44.925743 367.436188 13.831614 1.000000e+37 1.000000e+37 0.000000
554535 10691 10884.579102 45663.441406 35102.406250 58.202526 12.644547 106.322495 105.920944 -1.905514e+01 -1.942685e+01 0.296549
554536 10691 10917.273438 45723.691406 35129.261719 -26.264696 1.557156 149.467392 19.786882 1.000000e+37 1.000000e+37 0.000000
554537 10691 10874.366211 45647.589844 35081.949219 -51.784599 55.706390 156.235657 22.352839 1.000000e+37 1.000000e+37 0.000000
554538 10691 10967.541016 45693.664062 35105.761719 24.360268 -11.011293 29.404613 12.457774 1.000000e+37 1.000000e+37 0.000000
554539 10691 11004.780273 45634.320312 35167.496094 81.799843 18.972153 82.694672 5.485745 1.000000e+37 1.000000e+37 0.000000
554540 10691 11022.515625 45700.234375 35086.082031 75.811035 5.556368 86.866783 8.928029 1.000000e+37 1.000000e+37 0.000000
571454 13365 10099.001953 48711.484375 39394.136719 -63.188843 148.275925 340.568695 87.314445 -1.801895e+01 -1.846441e+01 0.136841
571455 13365 10055.969727 48765.953125 39443.343750 -52.830406 78.440643 317.420471 19.960314 1.000000e+37 1.000000e+37 0.000000
571456 13365 10138.437500 48724.964844 39382.378906 -77.585930 137.309341 285.116699 24.092840 -1.069882e+01 -1.122892e+01 0.000217
571457 13365 10147.603516 48709.628906 39461.226562 -32.285290 138.961456 314.199493 18.305037 1.000000e+37 1.000000e+37 0.000000
571458 13365 10177.810547 48748.546875 39399.328125 -44.491806 135.417160 277.988892 12.504443 1.000000e+37 1.000000e+37 0.000000
571459 13365 10063.759766 48741.574219 39366.324219 -112.433937 95.118797 384.667267 11.057302 1.000000e+37 1.000000e+37 0.000000
573165 13669 9841.419922 47566.761719 38873.316406 58.832504 0.417377 391.341583 85.359047 -1.744954e+01 -1.791338e+01 0.083405
573166 13669 9970.443359 47586.281250 38795.332031 39.486946 5.426028 353.762573 48.859783 -1.472091e+01 -1.507664e+01 0.004632
573167 13669 9886.117188 47630.777344 38838.363281 48.487141 7.865208 448.944305 32.666416 -9.450042e+00 -1.001220e+01 0.000130
573168 13669 9800.403320 47611.906250 38988.968750 14.977313 -15.653175 356.642578 19.517752 1.000000e+37 1.000000e+37 0.000000
573169 13669 9998.999023 47633.953125 38788.203125 -25.887257 11.612071 340.882050 13.511971 1.000000e+37 1.000000e+37 0.000000
573170 13669 9826.282227 47621.707031 38955.796875 8.109212 -25.278854 344.673950 15.821038 1.000000e+37 1.000000e+37 0.000000
573171 13669 9876.684570 47511.343750 38848.835938 59.483654 45.484016 444.507599 16.044825 1.000000e+37 1.000000e+37 0.000000
573172 13669 9891.509766 47560.925781 38883.308594 -7.514863 11.082261 430.449463 10.727517 1.000000e+37 1.000000e+37 0.000000
573173 13669 9999.253906 47612.578125 38768.488281 33.173195 28.422071 366.347168 12.842463 1.000000e+37 1.000000e+37 0.000000
573174 13669 9892.320312 47570.082031 38872.281250 37.365078 64.749374 387.752991 10.226779 1.000000e+37 1.000000e+37 0.000000
573175 13669 9768.535156 47540.484375 38921.156250 47.948742 4.047026 348.319580 11.295861 1.000000e+37 1.000000e+37 0.000000
