#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG
#subID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags
399888 5363.361328 34824.929688 16810.265625 -77.435425 -374.581665 129.950562 197.228455 -2.128305e+01 -2.184471e+01
399889 5379.512695 34775.984375 16728.511719 17.023817 -589.953125 229.149094 91.104790 -1.814003e+01 -1.859467e+01
399890 5269.822754 34913.757812 16746.210938 -30.236933 -376.190887 376.600189 43.265579 -1.134674e+01 -1.188245e+01
399891 5354.962891 34932.804688 16734.984375 -53.585827 -475.035645 194.326035 33.621265 -1.452189e+01 -1.521445e+01
399892 5246.223145 34734.480469 17050.677734 -256.778931 -218.134918 59.297226 24.692520 1.000000e+37 1.000000e+37
399893 5488.764648 34892.718750 16990.718750 -103.109436 -294.539825 200.148026 34.032375 -1.269036e+01 -1.337385e+01
399894 5389.292969 34967.941406 16896.328125 -329.126892 -297.426453 26.256580 20.902832 1.000000e+37 1.000000e+37
399895 5347.265625 34876.769531 16789.181641 18.819973 -328.407349 -146.075806 30.629086 -1.059359e+01 -1.117237e+01
399896 5430.337402 34780.132812 16928.761719 -161.192032 -410.472107 96.165230 27.018229 -1.213667e+01 -1.277320e+01
399897 5247.633301 35117.449219 16629.228516 -21.061691 -305.192139 124.528084 19.586386 1.000000e+37 1.000000e+37
399898 5263.085449 34686.765625 16776.966797 -32.441593 -357.789978 127.125389 23.666759 1.000000e+37 1.000000e+37
399899 5214.155273 34859.753906 16848.568359 -169.509155 -583.680969 161.458221 17.321421 1.000000e+37 1.000000e+37
399900 5404.498535 34881.730469 16735.568359 -236.829086 -302.001984 151.840408 22.091782 -1.142164e+01 -1.204861e+01
399901 5179.215820 34676.246094 16791.005859 -19.699850 -252.211823 102.824860 16.361221 1.000000e+37 1.000000e+37
399902 5394.130371 34906.292969 16640.839844 -145.229080 -430.195679 179.287125 17.706726 -1.031462e+01 -1.098653e+01
399903 5188.999023 34758.890625 16803.511719 -88.443207 -348.729614 -55.658482 14.978904 1.000000e+37 1.000000e+37
399904 5371.554688 34850.757812 16667.699219 -182.605637 -250.575256 -32.992931 15.665248 1.000000e+37 1.000000e+37
399905 5318.372070 34909.417969 16779.320312 27.607210 -427.019348 145.493530 18.799143 1.000000e+37 1.000000e+37
399906 5286.594727 34870.738281 16965.744141 -225.052139 -462.857758 12.832213 14.400187 1.000000e+37 1.000000e+37
399907 5349.741699 34786.890625 16905.736328 -106.906044 -210.693420 -44.550426 16.305363 1.000000e+37 1.000000e+37
399908 5365.229004 34751.027344 16883.529297 -243.969162 -508.408997 199.638107 16.643250 1.000000e+37 1.000000e+37
399909 5513.308105 34890.671875 16726.763672 38.344742 -363.545319 71.151405 9.036368 -9.802760e+00 -1.040200e+01
