#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG
#subID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags
402514 13789.546875 74781.898438 12170.093750 327.960632 261.041107 -124.804398 209.792328 -2.050987e+01 -2.122024e+01
402515 13693.546875 74858.953125 12367.696289 204.902481 193.009750 -202.075180 57.423336 -1.505789e+01 -1.556498e+01
402516 13754.934570 74698.210938 12196.814453 475.543427 313.694336 -0.423883 57.697720 -1.449734e+01 -1.512114e+01
402517 13957.287109 74752.390625 12228.112305 148.582031 341.449493 -30.498522 43.369904 -1.250700e+01 -1.316915e+01
402518 13533.943359 74697.671875 12108.047852 369.300323 242.773682 -219.806686 34.962353 -1.230374e+01 -1.293444e+01
402519 13690.821289 62.841099 12113.608398 290.494690 183.552338 -176.182968 25.570070 1.000000e+37 1.000000e+37
402520 13832.228516 74722.554688 12201.280273 424.156403 367.723236 -307.086426 31.166365 -1.143965e+01 -1.208492e+01
402521 13612.692383 74752.906250 12194.101562 486.822021 373.481140 -23.008890 20.113031 1.000000e+37 1.000000e+37
402522 13559.322266 43.240582 12165.109375 410.224243 344.333435 -19.697849 20.692520 1.000000e+37 1.000000e+37
402523 13802.944336 69.571602 12053.734375 370.611023 194.451309 -149.102325 26.054800 -1.092529e+01 -1.154387e+01
402524 14077.217773 74666.335938 12251.008789 350.983643 212.937180 -149.038315 24.854216 -1.034362e+01 -1.089895e+01
402525 13860.946289 74926.640625 12210.129883 380.168884 332.519012 1.745583 23.452139 -1.039720e+01 -1.098219e+01
402526 13627.834961 74947.640625 12116.508789 315.323059 205.621338 -192.404236 23.526344 -9.690910e+00 -1.029246e+01
402527 13894.998047 74845.976562 12273.128906 250.987869 300.485962 -3.095651 25.540308 -8.543220e+00 -9.114255e+00
402528 13848.141602 74565.398438 12175.111328 413.096680 187.152969 -227.164093 18.039860 1.000000e+37 1.000000e+37
402529 13952.848633 74814.351562 12397.217773 403.632599 248.341888 -134.918655 21.525209 1.000000e+37 1.000000e+37
402530 13619.541992 28.666761 12202.355469 369.113159 216.835358 -171.213867 19.515251 -8.317195e+00 -8.887542e+00
402531 13708.337891 74928.515625 12209.083008 536.386719 197.211273 -133.918564 15.952333 1.000000e+37 1.000000e+37
402532 13630.943359 74808.851562 12200.180664 266.597961 175.896515 -263.812195 24.317484 -8.448178e+00 -9.015475e+00
402533 13670.594727 74778.835938 12161.532227 542.610413 361.734131 -20.170992 17.441423 1.000000e+37 1.000000e+37
402534 13673.760742 74822.484375 12039.040039 507.132538 212.355911 -210.854874 16.300064 1.000000e+37 1.000000e+37
402535 13862.584961 74669.046875 12156.285156 436.963654 238.191238 32.962261 21.909008 -9.672116e+00 -1.024280e+01
402536 13675.435547 41.921635 12081.866211 254.801041 251.132614 -48.824070 16.595284 1.000000e+37 1.000000e+37
