#FOFID pos_x pos_y pos_z vel_x vel_y vel_z
#integer kpc/h kpc/h kpc/h km/s km/s km/s 
603 50849.578125 35538.308594 27759.626953 -9.179965 -62.128975 -45.007965
604 21979.136719 25386.507812 41343.507812 -28.408472 197.162201 -74.286079
605 50245.535156 18788.580078 41166.847656 -59.652164 -212.344574 -149.626648
606 15641.962891 68799.570312 4273.968262 475.962677 92.792290 -203.746765
607 65669.843750 71339.000000 57069.250000 255.256836 -124.847328 -351.820007
608 22978.583984 55460.808594 38090.718750 24.233498 -113.380997 251.634018
609 3020.280029 48825.093750 1858.889648 169.682312 -106.039032 -149.066132
610 28687.066406 54800.906250 46442.546875 -170.941071 -212.675400 106.883232
611 2826.404297 18247.304688 23133.878906 -402.721619 19.797625 -2.908746
612 71077.960938 9244.241211 34276.699219 8.165464 151.806290 -127.329430
613 16185.333008 20590.554688 74190.250000 -161.140747 -6.992503 107.739365
614 66559.132812 17903.076172 70193.984375 152.243698 110.000320 114.716354
615 29082.744141 12337.275391 59043.679688 -151.702927 -60.220467 -124.691605
616 2905.193359 50861.902344 12737.073242 46.575054 -169.361313 14.219844
617 17817.945312 15767.509766 9830.502930 -185.115234 -87.228912 -40.002579
618 25220.298828 7104.723633 60888.789062 110.417953 37.961658 74.487762
619 67540.062500 19860.773438 23885.306641 465.465118 -31.015776 231.756912
620 47286.054688 74017.226562 59828.484375 -127.625053 37.018055 -117.274902
621 39586.890625 37922.281250 61904.828125 -157.794525 48.229931 -81.855476
622 9135.142578 61494.183594 34818.050781 -63.684784 -169.883118 144.133392
623 47423.339844 65540.320312 47662.929688 -308.104065 229.706924 -217.961197
624 56795.007812 24219.945312 5466.259277 98.268089 44.689243 1.101261
625 74052.515625 56635.242188 71555.593750 227.079086 -95.327583 -232.300079
626 14334.304688 58569.988281 70181.882812 223.531387 -95.869514 221.798767
627 73193.000000 59531.128906 59409.253906 -126.848694 -378.849640 -425.854401
628 50543.046875 63220.859375 30899.337891 -24.680555 24.546438 199.372833
629 69687.648438 5457.074707 31758.154297 43.484974 267.987701 198.905869
630 52027.910156 15849.418945 54481.128906 -36.976387 -128.876205 -174.208786
631 365.961517 31286.347656 4735.311035 352.874298 184.543839 370.082520
632 53532.171875 37415.968750 26548.798828 51.525414 -80.131836 -46.132610
633 61472.148438 12996.504883 8423.788086 67.436386 159.782486 100.851547
634 67382.132812 71845.828125 55592.652344 -116.619492 -258.389587 -120.027901
635 73059.992188 54872.257812 46226.234375 297.555420 246.703857 182.720810
636 2126.711182 29315.208984 18402.714844 -281.392334 -761.715698 -31.374254
637 45728.511719 73273.617188 5902.421387 -69.231407 78.038277 -32.748135
638 55640.378906 60845.714844 8074.600586 72.138428 36.716251 42.449825
639 16907.126953 47039.703125 72369.101562 -79.124481 71.393013 -248.912689
640 55627.363281 34113.351562 25038.484375 145.186783 -110.193977 -6.327607
641 1679.452148 55590.792969 67982.132812 178.204620 -61.179581 -298.038025
642 2550.481689 41571.316406 56839.058594 279.936859 243.029465 -34.249321
643 33645.355469 31621.214844 69557.093750 -13.378643 92.956322 6.996516
644 43200.644531 65272.355469 13565.579102 -14.815802 148.245483 158.015808
645 73235.484375 14391.614258 54447.976562 46.784622 9.783217 -63.907711
646 19304.486328 6213.855469 26857.087891 -114.790581 259.148010 42.260666
647 41643.812500 47516.949219 15116.862305 -38.689693 26.585018 94.585297
648 66022.531250 23223.578125 24797.851562 283.151001 -333.107300 -226.362671
649 73607.445312 55968.839844 70379.953125 334.877686 4.768031 -203.755493
650 43887.417969 42740.394531 27517.296875 66.456207 55.719147 101.634407
651 49556.429688 23222.716797 32052.466797 122.612869 -62.854073 35.882755
652 11236.658203 22824.894531 7314.280762 -115.666115 -3.313562 -19.599918
653 63369.035156 42249.621094 39563.320312 118.844437 117.530037 -41.162819
654 18027.113281 33811.460938 34653.175781 -49.137581 40.300461 179.276779
655 12690.119141 56277.070312 37696.703125 -6.789732 -173.804596 228.875885
656 30225.726562 24950.535156 69848.914062 -81.246338 118.848091 -12.299979
657 46053.566406 6702.459473 1468.820557 -168.442596 -131.333038 65.158157
658 53326.078125 42068.921875 64035.398438 43.333763 19.791117 -58.694138
659 67107.781250 20586.160156 22189.851562 607.083374 23.281227 270.080139
660 64326.589844 12141.455078 5284.466797 28.066774 209.448166 66.334442
661 58275.984375 22726.269531 19101.986328 321.436890 -77.766457 11.823034
662 27809.865234 74189.906250 66502.820312 45.114750 -92.900459 204.793442
663 25650.101562 60948.796875 25798.275391 31.349792 167.559204 205.739365
664 38942.769531 53912.179688 53455.679688 -105.587807 24.660465 -275.612549
665 69589.789062 24938.572266 10240.327148 229.663025 106.161102 401.562805
666 32905.546875 47144.664062 41373.742188 -264.529175 10.988745 160.593277
667 66830.835938 64041.070312 40052.574219 3.495104 24.855103 10.405685
668 43949.046875 63419.496094 39113.812500 -146.467316 324.226501 204.548218
669 51419.906250 65279.066406 64050.308594 -35.801662 70.832115 -202.176941
670 39107.972656 38248.019531 63523.742188 -2.236934 -7.456051 12.668206
671 15116.073242 14912.119141 27424.222656 -127.118294 -66.634552 -82.463844
672 4352.928223 51815.351562 52147.261719 70.221481 97.908188 -132.268936
673 28912.966797 20122.863281 22822.843750 -244.197113 -65.167656 153.641251
674 3892.406006 21299.013672 63799.925781 266.842743 137.069107 103.692383
675 14283.662109 11739.833984 49889.667969 -3.011124 172.973160 -139.926544
676 64222.953125 21808.601562 7985.208008 201.698212 163.291962 169.811646
677 14553.105469 18885.583984 4610.230957 -18.216890 165.747055 0.048247
678 34694.105469 1670.052612 49723.726562 26.082106 -148.662491 28.550438
679 52926.062500 15229.283203 53878.937500 -68.789162 -159.515640 -101.394989
680 31660.921875 948.808899 70875.304688 11.965950 214.300629 -206.540115
681 4167.652832 20632.820312 23939.515625 -266.908173 -72.387634 -327.404510
682 23903.244141 8396.976562 9891.404297 -467.706390 85.043724 -120.935066
683 5778.187500 66873.984375 70244.726562 191.642136 -237.056656 20.624104
684 1917.149780 44446.128906 56777.417969 305.402222 277.863190 -61.756618
685 11010.326172 11.778360 74313.679688 191.910370 -72.922287 174.157181
686 1863.284546 26777.396484 59616.753906 243.422806 89.513351 31.508905
687 69457.070312 52578.292969 27933.632812 107.230545 36.504234 85.039452
688 39373.179688 4681.152344 59979.500000 -97.711067 -120.648567 -38.714046
689 43271.664062 48606.457031 27628.828125 51.272045 158.415634 135.163330
690 11084.684570 58170.519531 35817.617188 -57.650589 -182.477158 235.737961
691 24718.371094 7331.255859 31294.976562 -76.378593 -52.229244 58.303169
692 16489.302734 19344.738281 54549.476562 53.034256 193.811295 11.408776
693 38046.843750 71270.546875 47266.902344 226.308289 -217.010422 -228.673996
694 28051.181641 52767.253906 44250.523438 -287.586182 -29.157612 212.288971
695 72655.937500 56365.777344 41631.898438 -1.534839 -108.821220 -92.806732
696 37663.699219 23909.013672 48228.253906 -53.267681 -216.646240 -152.340179
697 11241.468750 13330.464844 50459.964844 84.382904 74.259865 -149.986526
698 22365.625000 41145.289062 34252.082031 -309.413177 -13.796137 327.010101
699 14820.958984 19181.029297 2754.324219 50.921043 190.603271 189.830734
700 74284.148438 54718.171875 43124.632812 421.415192 287.502167 81.309753
701 20307.089844 43970.308594 66759.640625 -247.980209 167.109131 -136.695129
702 25747.060547 6521.639160 31426.498047 -190.230362 186.886169 31.651144
703 11873.612305 1895.347290 846.143127 218.197266 -71.133904 132.370941
704 3889.466309 51916.460938 43952.531250 350.065308 -164.022522 183.730988
705 9930.257812 22559.363281 27927.888672 6.582955 -60.733093 -318.356140
706 64000.851562 73960.476562 56567.195312 118.430679 -239.537125 -254.850281
707 15644.640625 495.016327 8819.143555 406.735840 45.300907 134.740616
708 63232.683594 60375.261719 52532.285156 492.443329 7.608667 79.317696
709 11721.816406 74931.531250 15887.687500 202.093246 291.034088 -57.397533
710 20058.482422 7616.811523 12478.876953 -27.447731 -91.742233 -131.521164
711 73228.343750 54630.679688 27062.044922 0.064093 -89.473717 164.882858
712 3162.505615 51021.113281 8742.819336 87.802948 -164.991531 -71.745041
713 27846.224609 11790.725586 60071.179688 -91.472725 -105.501221 -78.651199
714 43909.042969 32511.933594 35772.386719 -216.387756 -24.344471 40.369808
715 67510.304688 62243.695312 39623.792969 230.537476 34.976631 260.360931
716 3854.826416 14330.155273 21466.291016 -38.547405 455.719330 304.667969
717 73395.476562 55905.035156 53131.843750 24.028322 15.020709 277.255066
718 72939.546875 18976.917969 24935.509766 709.730835 138.195114 193.481201
719 34986.984375 33228.742188 70824.773438 52.509399 48.749271 -117.140877
720 11444.310547 53477.511719 64383.941406 136.642105 -77.007889 70.887398
721 7935.405762 46105.796875 63312.070312 169.109955 74.097069 -200.205475
722 58189.816406 20268.820312 17485.433594 274.839020 140.479843 106.757301
723 29533.144531 42037.128906 43767.593750 -388.977600 -55.524395 132.091248
724 15567.908203 25425.859375 31116.777344 -52.851345 -24.760757 -112.719826
725 68717.039062 27547.564453 74839.250000 140.992386 168.616714 121.702293
726 39017.171875 21975.970703 49175.464844 -107.137459 36.267117 -393.410065
727 16759.345703 67334.726562 4138.496094 400.120239 327.690765 -405.893860
728 13695.788086 56016.343750 69970.671875 47.241199 70.646103 -504.872650
729 27371.007812 46875.761719 74498.195312 -310.983582 31.976007 -136.079636
730 69222.687500 18212.509766 25591.005859 268.674774 147.919052 77.773705
731 13098.693359 12045.948242 39650.699219 -220.704208 102.843231 -164.061478
732 45836.230469 52297.773438 59360.125000 -98.020157 -40.029881 -145.695511
733 34716.484375 5370.938477 38140.980469 -146.431625 -112.149460 -100.151840
734 72876.445312 40008.132812 9473.541016 162.845840 -300.350739 -62.965618
735 67721.914062 21388.068359 25541.931641 219.284363 -327.067444 -266.785034
736 26993.714844 2248.717529 490.165344 -183.861237 -9.307100 -242.691101
737 4405.313965 31506.642578 50063.335938 331.561188 143.691895 6.757199
738 29982.791016 1866.523193 70385.226562 84.450348 -126.881393 232.626694
739 25098.320312 41712.312500 52878.265625 -332.910675 299.420990 -109.599602
740 35954.324219 53593.714844 50906.062500 -217.647110 81.776596 -84.120903
741 17947.853516 47186.128906 68037.468750 -167.395493 174.298264 -201.657684
742 40665.695312 28276.275391 45425.683594 -181.855667 -81.897736 50.501251
743 1809.942383 24712.419922 20794.925781 -360.065735 -40.825783 -465.972809
744 18181.582031 48400.640625 66821.937500 -275.670532 103.451897 -173.096161
745 7816.016602 29988.636719 1304.424194 -203.429199 69.181160 35.807259
746 8597.512695 54528.335938 63744.761719 119.039726 -180.832855 -100.634193
747 25353.107422 8183.190430 63796.546875 58.867344 3.743178 65.630585
748 69237.828125 19511.873047 22303.597656 254.456406 152.446106 107.090530
749 33722.441406 4591.332031 70859.585938 -156.444901 -470.563293 -137.032471
750 20120.535156 50521.250000 51121.867188 -254.435028 -226.502625 -586.673889
751 5575.392090 13756.462891 12902.162109 120.443176 185.753769 202.900726
752 64816.046875 27555.953125 21746.332031 146.789536 -347.021912 -12.468534
753 24899.367188 59263.113281 34246.242188 92.002457 -113.729607 139.274765
754 40168.859375 51068.933594 26825.361328 55.629665 32.499619 196.645233
755 60696.460938 756.745361 39295.417969 -460.494843 146.485855 -183.713333
756 2252.761475 54267.367188 41123.433594 73.807312 -111.471123 238.755234
757 2360.867432 10602.791992 28080.517578 -50.195206 397.495636 195.475708
758 42869.156250 18285.439453 57742.687500 -89.462982 2.551099 -108.966377
759 10120.864258 43757.136719 31936.126953 137.380753 -110.075523 27.709618
760 53583.480469 71600.671875 39730.675781 -141.327469 -117.808083 7.556166
761 8951.645508 33242.136719 60544.761719 -99.122505 394.489410 -67.556854
762 29513.845703 60224.562500 31291.244141 -100.872292 234.394669 103.824745
763 48669.656250 55719.308594 48796.562500 -47.174110 147.860413 -63.686436
764 35514.078125 51861.867188 53182.027344 -170.296524 -26.557705 -218.311340
765 11310.211914 25436.781250 2393.577637 -86.672752 109.538811 133.427811
766 28356.519531 60480.867188 51863.957031 -156.207260 -46.754585 6.365090
767 74159.195312 15018.962891 28495.966797 -128.916916 76.801689 -352.680206
768 64032.929688 674.341797 46272.007812 63.999733 -223.649796 -323.109558
769 19991.210938 47302.125000 32326.660156 -90.278412 -165.106873 300.545074
770 1036.877441 42655.246094 28539.044922 187.456696 -77.535858 16.742311
771 40664.492188 471.811737 36820.628906 -131.865845 -429.222504 97.523933
772 49673.324219 41524.304688 57972.273438 -87.140968 51.501854 15.284307
773 11420.969727 6587.213867 7031.299805 157.736649 63.319870 168.549500
774 39861.902344 22551.427734 28638.667969 -55.101982 -21.411407 111.508339
775 4716.718750 12817.208984 73320.906250 159.170120 164.390305 54.885632
776 47445.835938 3311.610107 8431.019531 -52.820786 0.997510 -32.676113
777 67206.492188 57819.460938 24834.380859 24.492590 -50.601509 110.612976
778 23850.916016 48029.285156 445.184021 -214.756943 56.761299 -232.810028
779 15815.955078 17477.449219 7415.286133 -79.881638 -10.977521 7.865745
780 71448.218750 65223.359375 37484.527344 -172.620361 -84.724190 174.032761
781 73477.148438 19099.253906 22828.326172 500.492615 28.959234 448.094604
782 30080.330078 22063.490234 55135.910156 -144.092270 51.668457 -138.019897
783 2240.101318 27806.152344 71822.328125 183.953766 82.734222 137.498505
784 41477.703125 49128.273438 14331.037109 -37.626289 -53.485058 147.714066
785 4230.019531 55884.132812 36361.132812 -64.701469 -165.112656 292.395142
786 66165.906250 58149.597656 18960.947266 68.033096 33.507812 220.779510
787 7446.732910 46062.746094 62524.453125 192.505997 98.668015 -84.640289
788 6965.760742 53881.148438 71737.335938 293.994507 -80.426979 -217.762604
789 68107.421875 73073.484375 53188.863281 -87.852875 -238.795532 -181.168533
790 22266.949219 27485.720703 40613.128906 252.964874 183.670639 -16.785898
791 7189.036621 61202.531250 66814.820312 111.486824 -225.562607 -15.825458
792 69361.976562 64917.039062 53031.066406 -352.343353 -334.760010 -41.616619
793 29513.541016 33244.894531 51410.394531 -270.845490 197.890579 -130.023087
794 58219.085938 33080.671875 3506.404541 113.479836 -87.655632 -102.813362
795 42862.378906 13461.645508 9311.004883 -1.151560 -29.300871 -20.485247
796 10831.596680 20050.449219 25500.460938 -261.146790 35.958668 3.098614
797 51891.726562 9181.199219 37449.730469 373.582611 -218.620926 76.134140
798 65024.300781 52312.789062 57096.417969 246.743011 155.508774 -424.480164
799 32048.181641 20314.359375 19305.941406 -192.815948 -75.187622 64.791763
800 25695.753906 57435.824219 29234.546875 86.393440 44.265007 240.323059
801 46259.851562 28957.619141 9649.300781 62.413464 -24.403093 -71.437340
802 5570.812012 49677.183594 41354.906250 318.600830 306.809631 189.809570
803 13049.958984 18751.716797 68672.445312 -9.416664 105.043396 -102.476456
804 18111.777344 14606.916016 61735.140625 15.522852 -29.258041 -7.555969
805 5886.072754 15880.222656 22808.064453 -157.013626 382.387299 188.974030
806 39635.351562 67162.843750 45396.023438 260.312195 -90.137985 -350.027222
807 866.071350 68712.109375 6387.895996 180.292496 14.997503 13.359277
808 5980.544434 67106.984375 4272.573242 270.031067 51.402390 -48.080410
809 41892.816406 420.896454 52604.503906 -107.351303 -197.896835 -180.790649
810 16607.572266 36858.175781 32181.191406 -180.873764 -4.472570 279.094482
811 20899.501953 23730.955078 41712.261719 -19.583082 149.098358 -60.350605
812 73046.203125 60757.753906 64738.644531 222.337708 -151.627930 -317.351013
813 13772.076172 58250.203125 69404.718750 293.745667 -239.158371 262.549652
814 21572.154297 58012.531250 36161.332031 6.368034 -173.367920 156.893768
815 32707.568359 73090.132812 69863.507812 -69.296364 308.483093 163.985901
816 72888.078125 24060.958984 14953.649414 390.167145 434.243805 574.542847
817 62975.019531 27605.158203 74589.414062 141.047913 29.547781 135.091156
818 27868.656250 31996.878906 52376.796875 -154.459625 166.023987 -164.014908
819 17614.353516 13267.241211 74534.914062 78.713661 34.753258 -40.532681
820 21326.388672 48190.921875 73082.625000 -226.671005 106.649414 -231.338684
821 59779.375000 70262.906250 32960.527344 7.796516 169.444382 179.323395
822 2223.200928 5506.512207 37106.460938 55.050255 187.169388 -24.049877
823 800.450623 68961.750000 8175.539551 135.513565 23.284069 -52.531139
824 15070.645508 41052.136719 31061.355469 -232.458313 134.521240 128.070267
825 57094.960938 9987.656250 33704.304688 108.757286 -395.691010 116.920738
826 59781.156250 49117.386719 37916.601562 83.623734 134.769409 -14.046593
827 20496.732422 16097.857422 42354.320312 -59.528599 206.966431 -52.547882
828 22200.189453 7337.210449 4268.913086 -297.809723 -101.817566 -44.531376
829 40765.210938 54144.644531 50393.355469 -222.376831 125.327423 24.097961
830 49151.417969 17069.279297 59129.535156 -92.315247 -127.064133 -128.715668
831 19120.447266 45862.671875 51501.488281 250.729507 422.880188 -463.327576
832 10437.639648 7854.606934 32947.402344 2.633456 446.780884 -70.498032
833 33363.761719 36838.414062 13246.683594 -240.094788 -103.909332 -129.426758
834 38449.937500 34944.816406 39950.019531 -161.709717 125.148064 68.491692
835 2719.274658 48971.941406 3905.655518 150.191803 -129.919769 -165.918320
836 15473.645508 62988.417969 73325.375000 110.356743 -184.755356 52.508221
837 31321.037109 21968.843750 29930.019531 -244.888138 -74.423164 138.200668
838 20836.652344 22143.994141 43111.757812 -124.675163 157.161896 -105.889206
839 55296.406250 41789.765625 54229.679688 -27.994610 143.403366 58.919933
840 24408.707031 54932.378906 30002.355469 56.899693 -21.158941 254.310028
841 26694.503906 37826.148438 43360.941406 -669.167664 2.892081 77.635544
842 7617.464844 17395.068359 62956.882812 358.910461 186.144867 90.617874
843 58192.144531 50898.015625 4522.454102 92.762383 -78.124496 29.716351
844 69743.039062 67451.757812 59296.199219 -12.003315 -287.350311 -360.400360
845 7723.233398 10257.878906 12563.353516 166.705551 107.073654 162.776398
846 7179.852539 51272.496094 48308.980469 318.652710 -114.530289 -474.377686
847 47115.738281 16.830969 34942.707031 151.385773 -1.735937 225.599716
848 71078.406250 37629.878906 6891.956543 258.210846 -321.212463 -68.425804
849 11421.754883 37937.128906 62498.132812 -49.356468 -202.838943 -324.867920
850 6145.915039 51519.628906 49676.140625 217.412155 -31.792194 -409.447052
851 39699.382812 38299.062500 65934.000000 -4.116592 -17.962206 118.673172
852 40112.785156 36967.621094 59539.566406 -64.804451 224.476013 -235.054520
853 3014.999268 21398.445312 60576.320312 180.985458 113.820869 79.325897
854 21570.544922 54696.035156 55289.789062 -131.787094 -268.416656 -146.045502
855 34394.855469 13195.157227 8355.215820 -196.445267 -7.694156 -20.037113
856 49307.597656 5155.940918 43837.351562 -15.452935 -92.539597 -125.886978
857 21071.876953 19731.607422 12340.452148 -265.771912 -72.434074 39.173470
858 37199.867188 34201.683594 53026.589844 -120.111046 108.613312 -13.352367
859 4127.762695 1042.662598 16068.818359 149.130051 180.432343 87.033310
860 9630.907227 18252.189453 24074.753906 -248.742752 107.064728 90.433830
861 18466.625000 29077.095703 32864.816406 -196.381638 -14.450212 197.663116
862 7405.775879 28185.007812 57800.476562 94.858070 234.168106 104.275734
863 29419.964844 44983.070312 51787.902344 -396.354828 -172.057281 -145.840149
864 16022.163086 20864.765625 40542.246094 192.606216 -43.064308 -170.254166
865 40597.640625 25888.718750 5069.107910 35.792187 44.893242 -108.315254
866 46122.570312 39120.703125 71777.679688 -464.751740 23.725750 -171.579529
867 1726.926514 26438.689453 15269.883789 -319.352631 350.690308 651.179504
868 34501.734375 46090.992188 61137.808594 -156.297775 -54.947529 -222.407684
869 55405.839844 33722.828125 25667.490234 154.741470 2.029812 -48.824242
870 4355.689941 51845.679688 56199.421875 -175.349518 -102.758789 -288.927734
871 19464.867188 28042.814453 45764.988281 177.658798 94.368591 -87.738350
872 40927.132812 50514.808594 37738.851562 -141.219635 93.646446 41.837814
873 8240.374023 14416.785156 62034.035156 210.429550 248.335526 -22.458250
874 20451.707031 22828.662109 18464.365234 -278.551208 -112.369377 93.480659
875 65218.453125 54472.617188 54740.347656 462.534027 282.749603 -322.739227
876 40014.906250 38691.750000 39459.425781 -268.910309 -163.470963 78.579018
877 31528.068359 43906.015625 42658.121094 -366.950104 -25.392784 120.920380
878 966.973450 36158.195312 73787.765625 95.054848 -196.577225 154.403915
879 13703.797852 16206.938477 60448.363281 -105.871338 183.253845 27.944937
880 44419.781250 64142.996094 42173.992188 -268.374847 447.246246 88.670860
881 66270.179688 49767.222656 10698.767578 123.098419 -87.650856 25.859783
882 26858.880859 33815.269531 12949.052734 -78.530998 -35.871529 -60.048271
883 35478.558594 2671.424561 36889.804688 69.284554 -209.703735 209.858475
884 55499.792969 58583.636719 8553.421875 77.760391 107.907516 -9.706518
885 13431.729492 48665.550781 47971.417969 142.144928 -143.066605 -176.045471
886 60523.679688 71167.773438 29224.570312 -159.246292 -116.372070 285.211304
887 16162.408203 19602.097656 47098.132812 182.195923 48.827122 -67.063713
888 10308.463867 63477.210938 69822.140625 292.449707 -218.631775 67.013344
889 26907.931641 32030.007812 53272.667969 -76.759445 156.628433 -211.164612
890 5627.162109 1453.885132 23335.326172 119.696762 304.139740 15.250126
891 10.009274 21906.537109 22468.005859 327.617157 -266.914154 -259.207794
892 71931.546875 6650.792480 44975.105469 -4.791148 -139.220551 -274.489746
893 38466.953125 67545.875000 45601.777344 250.758774 -166.175873 -318.669739
894 49350.820312 70467.492188 29346.378906 159.440948 35.725182 116.148857
895 27796.644531 54212.019531 7921.679199 -217.712967 -14.161710 -103.801064
896 17925.652344 45847.695312 72120.046875 -135.935776 163.006149 -212.065460
897 2720.765137 28186.255859 11135.580078 -29.725098 -3.217086 437.096497
898 67631.234375 25481.267578 13906.856445 543.634644 103.973045 269.478638
899 50990.300781 16272.323242 54281.460938 -71.426506 -229.492340 -43.408047
900 23108.804688 51523.496094 32385.830078 -163.149445 -106.567558 142.162521
901 27821.359375 11225.103516 32239.664062 -135.418518 33.511581 56.450020
902 5468.093262 36513.738281 60546.046875 245.000397 -103.920341 -137.226318
903 19128.636719 10964.871094 3790.095459 162.691360 4.223716 178.133636
904 40591.488281 58380.691406 13355.762695 -37.466629 54.320724 56.809875
905 60068.980469 21573.435547 25432.757812 414.629089 -129.822754 2.096168
906 10661.683594 12140.340820 45746.210938 47.447613 101.593758 -317.821228
907 39767.582031 67738.601562 51987.359375 -74.453003 -4.113847 -371.187683
908 11253.503906 71562.703125 7379.202148 231.452209 70.407013 -36.840698
909 64244.949219 15235.007812 30968.550781 268.448730 -359.065643 -326.814758
910 27989.539062 12300.395508 32897.398438 -184.280151 3.494511 92.386269
911 23375.662109 4191.312012 28323.675781 -235.478745 193.298279 -4.416634
912 64161.218750 19288.140625 53587.308594 58.268147 -138.402359 -109.014160
913 35634.589844 14838.882812 34574.156250 -155.924393 -41.034801 164.610718
914 22722.167969 57215.468750 53527.671875 50.143715 -383.867004 92.392418
915 39782.691406 44790.726562 64347.820312 -141.051117 -233.600143 -101.904366
916 60894.921875 35458.015625 12867.047852 188.936600 -192.527176 90.347755
917 46594.917969 1836.398560 22625.939453 110.263924 -88.984444 144.029953
918 13454.011719 44231.625000 1088.780640 -93.808601 -86.175407 -144.193695
919 40947.402344 1200.195679 68672.304688 -405.008453 -62.930073 282.324982
920 7523.416992 36837.847656 25033.367188 57.956539 20.740532 198.881058
921 12885.532227 43109.167969 27335.029297 -262.244354 -259.748688 406.658478
922 39471.937500 33947.636719 1197.519287 -7.156716 45.363911 -193.074371
923 52034.105469 12628.333984 47736.855469 49.190926 -137.527985 -139.144928
924 27209.208984 4718.878906 66034.203125 66.762978 -48.836288 135.537720
925 84.367142 35667.851562 3055.014404 -134.114410 -348.875183 87.494911
926 30744.998047 54508.859375 48303.808594 -264.913879 -12.609731 -12.718693
927 24568.908203 37189.621094 47162.804688 -66.530502 323.546265 -326.517700
928 23800.800781 21743.017578 66240.625000 -144.032623 -6.244133 -79.658447
929 21369.271484 55445.121094 58452.179688 -25.090437 -91.036720 -188.111420
930 66016.687500 64565.289062 38938.625000 -31.799980 -78.025269 246.641006
931 31458.816406 24521.558594 47055.273438 -178.830124 0.690188 -202.789902
932 58069.300781 53794.078125 27354.824219 17.185667 9.845960 78.212379
933 21285.626953 72417.171875 19637.306641 -164.627640 225.779770 -32.477631
934 59852.093750 3460.354492 57328.687500 -2.331645 -110.763748 -241.012894
935 38890.851562 69982.695312 46957.621094 245.777786 -343.752350 -211.085175
936 67778.476562 52392.257812 27318.857422 140.970825 16.180088 65.076286
937 4564.743164 43887.398438 53853.945312 198.187225 223.894348 102.892921
938 67376.476562 14124.838867 5495.025391 68.016762 189.817413 112.049652
939 32229.664062 57514.507812 29796.681641 -132.182434 105.180290 308.124695
940 9368.126953 29580.179688 14279.989258 -359.821350 -144.291122 46.830093
941 70572.710938 68003.992188 11774.903320 124.335266 26.253359 48.690601
942 34386.664062 38627.046875 36985.347656 -194.480331 30.980852 289.421173
943 73746.687500 21015.474609 59652.066406 209.587067 89.500755 -26.887920
944 28072.775391 42734.378906 16390.185547 -56.940441 -32.426285 10.917150
945 72233.414062 56062.429688 54276.265625 -65.600357 -50.241108 148.039154
946 20244.871094 23893.917969 26320.699219 -282.979492 -151.083267 163.613968
947 1823.937012 67298.250000 624.623047 188.831406 -41.492065 -66.549477
948 67451.289062 22047.294922 25252.906250 257.418823 -410.130646 -217.672806
949 11967.505859 57728.582031 36229.359375 -82.968834 -199.450226 194.879181
950 63904.785156 67289.695312 2884.232422 85.753036 -10.122162 -25.529718
951 23538.250000 7872.266602 9093.847656 -307.883362 128.300949 -118.412315
952 18269.113281 61959.550781 70166.289062 -293.722809 -38.883102 -53.116959
953 45768.781250 5912.315918 2016.617798 -5.104184 -48.695992 -162.681641
954 19534.419922 14027.691406 1219.699341 -149.810669 -156.786743 80.482719
955 7838.469727 70065.406250 72386.101562 287.314240 -200.753265 54.669315
956 51285.570312 45515.859375 28179.343750 32.625019 52.758850 -178.952759
957 51455.058594 10220.357422 38000.421875 281.166382 -260.851288 48.556679
958 22152.320312 41250.429688 54182.335938 -47.456570 426.820160 -464.762451
959 74417.187500 32142.160156 57816.214844 405.891754 75.724442 97.320595
960 29304.130859 24637.310547 51905.789062 -126.719193 129.109833 -118.367722
961 20824.986328 1463.553955 9001.761719 -495.769470 104.230118 -120.677902
962 28766.333984 56339.914062 39884.027344 -32.588902 -130.381058 168.436569
963 2069.707764 54561.613281 61099.097656 62.472141 59.914036 -369.180389
964 52063.082031 38257.234375 71721.421875 -233.908020 -108.281837 -22.751755
965 32635.578125 21965.447266 30694.472656 -244.317581 -71.226585 96.096725
966 66070.312500 54814.453125 54381.476562 254.217484 338.210114 -403.702148
967 10426.901367 72230.796875 73885.132812 203.116989 -141.879562 176.444794
968 64508.675781 62798.929688 42301.394531 169.474701 59.609661 -22.821808
969 65236.992188 34664.128906 71673.460938 221.629242 -44.786942 200.663239
970 45036.773438 25096.783203 5919.004883 42.050182 0.406458 -98.029869
971 40928.285156 54126.175781 38029.871094 -131.287170 123.232018 65.899750
972 53968.070312 3986.649902 60847.257812 -73.687157 42.883839 -154.198105
973 9.437389 55624.503906 41142.710938 278.822357 180.453979 299.963379
974 33277.855469 63934.742188 49708.710938 57.483295 88.693306 -86.836151
975 33668.050781 68425.125000 4754.593262 -202.161240 48.858669 -191.343567
976 4983.554199 74061.445312 24483.847656 66.904533 230.716248 57.661453
977 19847.642578 52368.503906 52829.785156 -142.647293 -282.967682 -236.215546
978 62851.996094 635.671692 39794.484375 -366.960083 119.531395 -109.909462
979 19622.300781 56102.218750 10648.130859 -43.472237 81.248100 -127.850891
980 35759.839844 73419.398438 49729.562500 91.768616 -46.095070 -205.805130
981 39109.050781 72825.070312 41781.671875 158.094650 -381.744537 -56.613823
982 8676.779297 51183.394531 45961.234375 803.731201 -180.214447 143.610413
983 2235.752197 12422.666992 28822.769531 -101.342911 221.446899 -66.814148
984 13055.124023 38588.824219 43178.492188 188.737167 168.781677 12.152984
