#FOFID pos_x pos_y pos_z vel_x vel_y vel_z
#integer kpc/h kpc/h kpc/h km/s km/s km/s 
86 53232.710938 30829.847656 1359.573608 81.523346 22.813581 -53.832718
87 11386.030273 23800.980469 26284.935547 -173.530746 -89.157570 -61.485207
88 57394.390625 44167.519531 61465.382812 53.210098 78.485916 -96.674110
89 28859.832031 58097.816406 31237.078125 -71.247726 199.923889 258.463226
90 65714.882812 16336.229492 27961.892578 225.825333 -2.240164 -223.100723
91 393.214386 10246.054688 30716.250000 -22.746647 286.607635 46.844257
92 57620.378906 10248.511719 39268.292969 49.038586 -217.436905 -214.116562
93 62988.570312 51465.500000 54807.089844 283.712891 293.238403 46.436459
94 31853.644531 29522.777344 73308.218750 -40.651798 66.503952 -76.463730
95 30075.535156 65049.656250 52532.218750 56.603157 -110.161667 -31.570164
96 17728.380859 57849.457031 37163.257812 12.901577 -189.570343 219.470184
97 71960.445312 17226.669922 26243.580078 75.798248 41.503166 -383.875519
98 41520.671875 32486.054688 53982.917969 -220.148209 143.647858 60.100105
99 51594.414062 70180.554688 10895.513672 -63.200581 139.897934 195.619156
100 20027.835938 55037.402344 60921.644531 -91.101311 -111.708656 -107.210434
101 30137.468750 8638.539062 53907.566406 22.497498 -102.956062 23.681692
102 20518.714844 5134.890137 7359.997070 -58.601627 -114.867432 50.719326
103 10395.015625 13766.426758 37849.148438 -26.928005 -146.468170 -309.205414
104 15921.740234 3147.329834 13344.032227 204.647797 14.102424 -123.195061
105 13544.738281 64160.394531 72674.492188 312.967957 -201.529205 80.264809
106 3641.990234 34315.980469 59759.722656 349.316010 48.964916 -2.927562
107 73244.273438 51589.316406 55470.156250 391.526245 295.568085 -2.480274
108 63574.820312 61386.558594 19079.103516 37.124619 41.136791 197.964264
109 186.256180 28510.878906 13195.919922 141.519562 -295.494720 407.490417
110 19249.248047 66311.734375 1560.880981 -351.022675 488.096252 -193.076309
111 20765.683594 7461.144043 9891.670898 -86.380074 -174.430527 -74.285110
112 43620.207031 61234.707031 49586.679688 -147.552780 202.045181 -274.044800
113 67324.937500 71333.140625 56851.113281 1.832312 -259.642120 -336.464905
114 40157.738281 37090.417969 39305.800781 -191.575653 16.328873 44.430508
115 53651.539062 44663.113281 25716.105469 8.544129 92.578690 30.780315
116 42702.757812 28568.128906 198.688797 -11.299663 125.506790 -61.282360
117 67998.812500 30530.023438 72209.289062 185.006622 119.181328 146.161835
118 5459.489258 32079.634766 47495.343750 206.869110 106.341148 46.993793
119 68717.070312 24830.992188 14075.481445 434.885651 94.907272 202.828949
120 49978.277344 56694.238281 29137.820312 -78.720734 149.482941 77.754097
121 44019.378906 34026.613281 30824.128906 77.862045 -17.013365 82.512566
122 40966.644531 23517.761719 66120.320312 -8.332291 48.206036 -42.847965
123 3860.292236 22504.482422 66755.234375 236.121796 98.683464 24.923090
124 12025.823242 42266.652344 28210.435547 -59.236027 -213.898636 329.804321
125 8851.854492 50402.164062 42446.179688 -20.855661 88.696739 557.833862
126 23836.105469 9294.535156 11057.999023 -318.426697 -97.707214 -113.272087
127 31511.138672 32977.558594 6126.031738 46.889629 35.541988 -1.539832
128 22477.564453 16853.416016 44701.308594 -92.982277 186.697052 -103.193275
129 19567.771484 11112.818359 5685.154785 9.203426 -126.609100 51.016544
130 41701.855469 1232.057739 54690.597656 -124.233536 -44.520107 -188.468246
131 6785.068848 8896.834961 38566.265625 -7.275428 93.801750 -248.758011
132 19930.255859 42711.855469 53838.550781 -18.139460 226.350433 -427.498230
133 32799.945312 34309.757812 8347.605469 -116.102196 -56.618217 -130.335663
134 11234.954102 8198.453125 29386.224609 73.517426 438.236145 40.785870
135 34479.667969 6468.830078 37944.851562 45.503914 -181.627090 -71.130478
136 60206.984375 68808.375000 28742.082031 -189.490234 68.435425 264.953491
137 29413.773438 39032.613281 53361.265625 -331.426056 319.476318 -72.419075
138 32240.986328 36185.085938 11322.736328 -185.065826 -48.215641 -66.546257
139 7136.174805 33015.015625 54550.468750 132.083954 196.499100 159.628464
140 10916.052734 37497.246094 61348.230469 -209.056229 -115.438370 -91.627419
